candidate_id,formula,incr_ic,length,hypothesis_zh,birth_channel,birth_batch,birth_source
CAND-32e5c7444cc0,abs(ret_5d),0.057134,2,做多[公式因子]：abs(ret_5d)——在 REG-IND-001 基座上增量 rank IC=0.0571（样本 17289，混同池口径 v1）。机制待审：该公式的每一项在行为/风险上是什么意思？是否存在同义反复或换手陷阱？,C,E1C-20260914-064126,gplearn pop=50 gen=4 wl=78cb9c24ae90 baseline=REG-IND-001 seed=42
CAND-cb09fa4b8b48,"max(abs(ret_5d), abs(ret_5d))",0.057134,5,"做多[公式因子]：max(abs(ret_5d), abs(ret_5d))——在 REG-IND-001 基座上增量 rank IC=0.0571（样本 17289，混同池口径 v1）。机制待审：该公式的每一项在行为/风险上是什么意思？是否存在同义反复或换手陷阱？",C,E1C-20260914-064126,gplearn pop=50 gen=4 wl=78cb9c24ae90 baseline=REG-IND-001 seed=42
CAND-ea4027f250e6,"log(max(abs(ret_5d), abs(ret_5d)))",0.04852,6,"做多[公式因子]：log(max(abs(ret_5d), abs(ret_5d)))——在 REG-IND-001 基座上增量 rank IC=0.0485（样本 17289，混同池口径 v1）。机制待审：该公式的每一项在行为/风险上是什么意思？是否存在同义反复或换手陷阱？",C,E1C-20260914-064126,gplearn pop=50 gen=4 wl=78cb9c24ae90 baseline=REG-IND-001 seed=42
CAND-0d7dafabee8c,log(abs(ret_5d)),0.04852,3,做多[公式因子]：log(abs(ret_5d))——在 REG-IND-001 基座上增量 rank IC=0.0485（样本 17289，混同池口径 v1）。机制待审：该公式的每一项在行为/风险上是什么意思？是否存在同义反复或换手陷阱？,C,E1C-20260914-064126,gplearn pop=50 gen=4 wl=78cb9c24ae90 baseline=REG-IND-001 seed=42
CAND-f46abcb05cb5,"log(max(ret_5d, abs(ret_5d)))",0.04852,5,"做多[公式因子]：log(max(ret_5d, abs(ret_5d)))——在 REG-IND-001 基座上增量 rank IC=0.0485（样本 17289，混同池口径 v1）。机制待审：该公式的每一项在行为/风险上是什么意思？是否存在同义反复或换手陷阱？",C,E1C-20260914-064126,gplearn pop=50 gen=4 wl=78cb9c24ae90 baseline=REG-IND-001 seed=42
CAND-a4fcd575f22f,"log(max(add(log(abs(ret_5d)), amt_z20), abs(ret_5d)))",0.040544,9,"做多[公式因子]：log(max(add(log(abs(ret_5d)), amt_z20), abs(ret_5d)))——在 REG-IND-001 基座上增量 rank IC=0.0405（样本 17289，混同池口径 v1）。机制待审：该公式的每一项在行为/风险上是什么意思？是否存在同义反复或换手陷阱？",C,E1C-20260914-064126,gplearn pop=50 gen=4 wl=78cb9c24ae90 baseline=REG-IND-001 seed=42
CAND-05e1d0f39797,"log(max(add(log(ret_5d), amt_z20), abs(ret_5d)))",0.040544,8,"做多[公式因子]：log(max(add(log(ret_5d), amt_z20), abs(ret_5d)))——在 REG-IND-001 基座上增量 rank IC=0.0405（样本 17289，混同池口径 v1）。机制待审：该公式的每一项在行为/风险上是什么意思？是否存在同义反复或换手陷阱？",C,E1C-20260914-064126,gplearn pop=50 gen=4 wl=78cb9c24ae90 baseline=REG-IND-001 seed=42
CAND-2c1986691e06,"log(max(log(max(add(log(max(add(ret_20d, amt_z20), abs(ret_5d))), amt_z20), abs(ret_5d))), abs(ret_5d)))",0.032636,17,"做多[公式因子]：log(max(log(max(add(log(max(add(ret_20d, amt_z20), abs(ret_5d))), amt_z20), abs(ret_5d))), abs(ret_5d)))——在 REG-IND-001 基座上增量 rank IC=0.0326（样本 17289，混同池口径 v1）。机制待审：该公式的每一项在行为/风险上是什么意思？是否存在同义反复或换手陷阱？",C,E1C-20260914-064126,gplearn pop=50 gen=4 wl=78cb9c24ae90 baseline=REG-IND-001 seed=42
CAND-2f3aa6f233d0,ret_5d,0.026679,1,做多[公式因子]：ret_5d——在 REG-IND-001 基座上增量 rank IC=0.0267（样本 870，混同池口径 v1）。机制自述要求：逐项说明本公式赚谁的钱（行为偏差/风险溢价/结构性摩擦）；任一算子讲不出机制即 reject_no_mechanism，纯数学变形无独立信息即 reject_tautology，换手成本吞掉边际即 reject_cost_prohibitive。,C,E1C-20260915-002001,gplearn pop=60 gen=4 wl=97a366c757c3 baseline=REG-IND-001 seed=42
CAND-fc416404693e,"abs(sub(ret_1d, ret_20d))",0.004054,4,"做多[公式因子]：abs(sub(ret_1d, ret_20d))——在 REG-IND-001 基座上增量 rank IC=0.0041（样本 870，混同池口径 v1）。算子释义——sub=减法（价差/背离结构）；abs=绝对值（波动幅度（方向中性））。机制自述要求：逐项说明本公式赚谁的钱（行为偏差/风险溢价/结构性摩擦）；任一算子讲不出机制即 reject_no_mechanism，纯数学变形无独立信息即 reject_tautology，换手成本吞掉边际即 reject_cost_prohibitive。",C,E1C-20260915-002001,gplearn pop=60 gen=4 wl=97a366c757c3 baseline=REG-IND-001 seed=42
CAND-feefa1374102,neg(rank_cs(ret_5d)),-0.021900,3,做多[横截面反转/幻方HF-01]：neg(rank_cs(ret_5d))——5日涨幅截面排名越低（超跌）端次5日超额为正；2026-09-22 实算窗口增量 IC=-0.0219（负号=做多低值端，n=12547，top50×250日，REG-IND-001 残差化口径 v1）。机制：短期过度反应的均值回复；风险：反转崩溃与换手成本，E4 分段+成本三档预注册。,C,E1C-20260922-HF,huanfang_ten spec cards (工单#1) baseline=REG-IND-001 wl=v2.1 rank_ic 实算窗口 2026-09-22
CAND-70df2a6467e7,rank_cs(ret_20d),0.004800,2,做多[横截面动量/幻方HF-02]：rank_cs(ret_20d)——20日动量截面延续；2026-09-22 实算增量 IC=+0.0048（A 股中期动量弱如实，n=12547 口径同上）。机制：动量自我强化；风险：动量崩溃尾部，E4 加最大回撤分段判据。,C,E1C-20260922-HF,huanfang_ten spec cards (工单#1) baseline=REG-IND-001 wl=v2.1 rank_ic 实算窗口 2026-09-22
CAND-49fa67062cc5,neg(rank_cs(vol_20d)),-0.022200,3,做多[低波异象/幻方HF-03]：neg(rank_cs(vol_20d))——低 20 日波动率组；2026-09-22 实算增量 IC=-0.0222（本窗呈反低波形态，如实记录不粉饰，n=12547）。机制：betting-against-beta；风险：样本窗依赖，E4 分域+分段稳定性预注册。,C,E1C-20260922-HF,huanfang_ten spec cards (工单#1) baseline=REG-IND-001 wl=v2.1 rank_ic 实算窗口 2026-09-22
CAND-1d2a94be819a,neg(rank_cs(turnover)),-0.034700,3,做多[低换手异象/幻方HF-04]：neg(rank_cs(turnover))——低换手组；2026-09-22 实算增量 IC=-0.0347（本窗呈反低换手形态，如实记录；与 HF-03 高相关，入库前过相关性去重，n=12547）。机制：流动性溢价；前置：Amihud 指标化立卡（规格卡 §6）。,C,E1C-20260922-HF,huanfang_ten spec cards (工单#1) baseline=REG-IND-001 wl=v2.1 rank_ic 实算窗口 2026-09-22
CAND-4cea34514ee5,"mul(neg(ts_delta_5(ts_corr_20(ret_1d, amt_z20))), rank_cs(vol_20d))",0.033800,8,做多[Alpha22代理/工单#4首批]：量价相关五日变化取负×波动脉冲截面排序；2026-09-22 实算增量 IC=+0.0338（top50×250日，n=12547，REG-IND-001 残差化）。诚实边界：high 原始列缺，ret_1d/amt_z20 代理口径，忠实度中；E4 全考试+原始列扩座后重考预注册。,C,E1C-20260922-A101,alpha101 batch1 survivors (工单#4) baseline=REG-IND-001 wl=v2.1 rank_ic 实算窗口 2026-09-22
CAND-ff5b7e22fd28,"ts_corr_20(vol_20d, amt_z20)",0.027000,8,做多[Alpha41代理/工单#4首批]：20日波动×量额z 时序相关；2026-09-22 实算增量 IC=+0.0270（口径同上）。诚实边界：high/volume 原始列缺代理口径；E4 全考试预注册。,C,E1C-20260922-A101,alpha101 batch1 survivors (工单#4) baseline=REG-IND-001 wl=v2.1 rank_ic 实算窗口 2026-09-22
