seq,year,orig_name,md5_12,screen
1,2020年度精选策略,01 AdaptiveMA自适应均线 过滤器 期货多品种模型 收益稳定增长.txt,a995b964d607,excluded:futures
2,2020年度精选策略,02 我好像破解了聚宽擂台排第一的策略？！.txt,06d4cf3d7dcc,candidate
3,2020年度精选策略,03 机器学习多因子策略.txt,7d9acec488d4,candidate
4,2020年度精选策略,04 趋势交易能赚钱吗？商品期货动量效应挖掘初探.txt,1bcbbf3ef9bc,excluded:futures
5,2020年度精选策略,05 兄台且慢，去天台排队不如看看这个策略先.txt,eaddc3f9db4e,candidate
6,2020年度精选策略,06 为什么股票市值是当前的样子？.txt,29727236e229,candidate
7,2020年度精选策略,07 穿越牛熊基业长青的价值精选策略.txt,311220235636,candidate
8,2020年度精选策略,08 MACD单因子多头策略.txt,99873fd0bc17,candidate
9,2020年度精选策略,09 商品期货 多品种日频双均线模型 作为给入门者的小礼物.txt,e15f0de31183,excluded:futures
10,2020年度精选策略,10 追三板策略.txt,1b2d37a2a7d9,candidate
11,2020年度精选策略,11 酒股地中短线策略.txt,7fb6fa56df89,candidate
12,2020年度精选策略,12 【均值回归】基于zscore的均值回归策略（胜率100%）.txt,097532e34002,candidate
13,2020年度精选策略,13 招行_海天配对策略-改进版.txt,243b948b3709,excluded:pairs_hedge
14,2020年度精选策略,14 抗击熊市的中短期低市值策略.txt,376825191613,candidate
15,2020年度精选策略,15 基于多期限的选股策略（一）.txt,93aa8f5a2bdd,candidate
16,2020年度精选策略,16 投资学作业.txt,d46105bf6b37,candidate
17,2020年度精选策略,17 商品期货截面动量模型，真的靠谱吗？.txt,af8dfcb8fd1f,excluded:futures
18,2020年度精选策略,18 均值回归策略分享.txt,9c0424f53fe4,candidate
19,2020年度精选策略,19 招行_海天配对策略（学习招行伊利配对）.txt,842ff6e41276,excluded:pairs_hedge
20,2020年度精选策略,20 分钟K线数据重构 ATR自适应通道 请高手来迭代.txt,40db376aee73,excluded:futures
21,2020年度精选策略,21 果核量化出品 -- BIAS_QL乖离率策略指数择时1.0.txt,c72318f2da1c,candidate
22,2020年度精选策略,22 海龟交易法则升级版---（分钟级回测+合约变更移仓）.txt,5c9ed6c2e5a8,excluded:futures
