relative_path,current_ttl,suggested_ttl,confidence,title,doc_type,key_signals,reason
docs/01_policies_and_standards/index.md,permanent,permanent,high,规则体系总索引,index,"目录=permanent | 标题永久: 规则,索引 | 正文永久: 蓝图,规则,rule | 正文临时: 日志,审计,施工",标题强信号(permanent)，目录一致
docs/02_enterprise_architecture/ai_team_mode_full_config.md,permanent,permanent,medium,AI 团队模式完整配置 v3.5,plan,"目录=permanent | 正文永久: 规则,rule,注册表 | 正文临时: 报告,临时",标题无信号，目录语义: 企业架构永久区（TOGAF 视图+架构模型）（匹配 docs/02_enterprise_architecture/）
docs/02_enterprise_architecture/contract_dedup_analysis.md,permanent,permanent,medium,合约模型去重分析报告,architecture_view,"目录=permanent | 标题临时: 报告 | 标题灰色: 分析 | 正文永久: 蓝图,gate,registry | 正文临时: 报告,任务卡",标题含过程性词但 doc_type=architecture_view 为永久类型，doc_type 优先于标题
docs/02_enterprise_architecture/contract_dedup_integration_analysis.md,permanent,permanent,medium,合约去重分析报告 — shared + integration 双路重复（23文件）,architecture_view,"目录=permanent | 标题临时: 报告 | 标题灰色: 分析 | 正文永久: 蓝图,registry,真源 | 正文临时: 报告,任务卡,评估",标题含过程性词但 doc_type=architecture_view 为永久类型，doc_type 优先于标题
docs/02_enterprise_architecture/core_function_dependency_design.md,permanent,permanent,medium,核心功能(F1-F37)依赖与调度设计,design,"目录=permanent | 正文永久: 蓝图,rule,标准 | 正文临时: 记录,审计,任务卡",标题无信号，目录语义: 企业架构永久区（TOGAF 视图+架构模型）（匹配 docs/02_enterprise_architecture/）
docs/02_enterprise_architecture/dependency_architecture_panorama.md,permanent,permanent,medium,依赖与架构全景图能力定位书,architecture_view,"目录=permanent | 标题灰色: 全景图,能力定位书,能力定位 | 正文永久: 蓝图,规则,invariant | 正文临时: 记录,log,施工",标题ambiguous，目录裁决为permanent: 目录语义: 企业架构永久区（TOGAF 视图+架构模型）（匹配 docs/02_enterprise_architecture/）
docs/02_enterprise_architecture/index.md,permanent,permanent,high,02 Enterprise Architecture,index,"目录=permanent | 标题永久: 索引 | 正文永久: 蓝图,规则,标准 | 正文临时: 记录,施工,临时",标题强信号(permanent)，目录一致
docs/02_enterprise_architecture/phase_d_ai_prompts.md,permanent,permanent,medium,阶段D：37个AI完整提示词,plan,"目录=permanent | 正文永久: 蓝图,规则,rule | 正文临时: 报告,审计,施工",标题无信号，目录语义: 企业架构永久区（TOGAF 视图+架构模型）（匹配 docs/02_enterprise_architecture/）
docs/02_enterprise_architecture/ssot_authority_map.md,permanent,permanent,high,ZephyrAlpha SSoT 权威图 (Single Source of Truth Authority Map),reference,"目录=permanent | 标题永久: source of truth | 正文永久: 规则,标准,standard | 正文临时: research,审计,audit",标题强信号(permanent)，目录一致
docs/02_enterprise_architecture/t18_implementation_plan.md,permanent,permanent,medium,T18 设计态YAML化 — 施工方案,architecture_view,"目录=permanent | 标题临时: 施工,施工方案 | 标题灰色: 方案 | 正文永久: 蓝图,规则,标准 | 正文临时: 报告,调研,施工",标题含过程性词但 doc_type=architecture_view 为永久类型，doc_type 优先于标题
docs/03_modules/index.md,permanent,permanent,high,03_modules — 模块蓝图目录索引,index,"目录=permanent | 标题永久: 蓝图,索引 | 正文永久: 蓝图,blueprint,rule | 正文临时: 记录,变更记录,research",标题强信号(permanent)，目录一致
