row_no,run_id,ingest_ts_utc,node_id,node_name_zh,validation_method,triggers_at_write,significance_at_write,verdict_reason_at_write,triage,node_latest_verdict,data_evidence,suggested_batch,note
1,VAL-20260912-070605,2026-09-11 23:06:10,TDM-E-L4,买卖点与执行,exec_quality,4,insufficient_samples,insufficient_samples,可考,pending,bt-fw产物D后(2026-09-09)fill=1467>=30;decision_price+commission 1467/1467;runner batch=L4现成,D1(决赛前),
2,VAL-20260912-070605,2026-09-11 23:06:10,TDM-E-L4-01,分批建仓,exec_quality,4,insufficient_samples,insufficient_samples,可考,pending,bt-fw产物D后(2026-09-09)fill=1467>=30;decision_price+commission 1467/1467;runner batch=L4现成,D1(决赛前),
3,VAL-20260912-070605,2026-09-11 23:06:10,TDM-E-L4-02,买入时序,exec_quality,4,insufficient_samples,insufficient_samples,可考,pending,bt-fw产物D后(2026-09-09)fill=1467>=30;decision_price+commission 1467/1467;runner batch=L4现成,D1(决赛前),
4,VAL-20260912-070605,2026-09-11 23:06:10,TDM-E-L4-03,价格锚定,exec_quality,4,insufficient_samples,insufficient_samples,可考,pending,bt-fw产物D后(2026-09-09)fill=1467>=30;decision_price+commission 1467/1467;runner batch=L4现成,D1(决赛前),
5,VAL-20260912-070605,2026-09-11 23:06:10,TDM-E-L4-04,资金分配多标的,exec_quality,4,insufficient_samples,insufficient_samples,可考,pending,bt-fw产物D后(2026-09-09)fill=1467>=30;decision_price+commission 1467/1467;runner batch=L4现成,D1(决赛前),
6,VAL-20260912-070605,2026-09-11 23:06:10,TDM-E-L4-05,打板执行专项,exec_quality,4,insufficient_samples,insufficient_samples,可考,pending,bt-fw产物D后(2026-09-09)fill=1467>=30;decision_price+commission 1467/1467;runner batch=L4现成,D1(决赛前),"受限代理口径:order_type全market/无algo归因,分桶判据缺"
7,VAL-20260912-070605,2026-09-11 23:06:10,TDM-E-L4-06,执行算法,exec_quality,4,insufficient_samples,insufficient_samples,可考,pending,bt-fw产物D后(2026-09-09)fill=1467>=30;decision_price+commission 1467/1467;runner batch=L4现成,D1(决赛前),"受限代理口径:order_type全market/无algo归因,分桶判据缺"
8,VAL-20260912-070605,2026-09-11 23:06:10,TDM-E-L4-07,条件触发队列,exec_quality,4,insufficient_samples,insufficient_samples,可考,pending,bt-fw产物D后(2026-09-09)fill=1467>=30;decision_price+commission 1467/1467;runner batch=L4现成,D1(决赛前),
9,VAL-20260912-070605,2026-09-11 23:06:10,TDM-E-L4-08,突破失败降级,exec_quality,4,insufficient_samples,insufficient_samples,可考,pending,bt-fw产物D后(2026-09-09)fill=1467>=30;decision_price+commission 1467/1467;runner batch=L4现成,D1(决赛前),
10,VAL-20260912-070605,2026-09-11 23:06:10,TDM-E-L4-09,执行硬约束,exec_quality,4,insufficient_samples,insufficient_samples,可考,pending,bt-fw产物D后(2026-09-09)fill=1467>=30;decision_price+commission 1467/1467;runner batch=L4现成,D1(决赛前),
