seq,year,orig_name,rel_path,size_bytes,lines,encoding,has_chinese,platform_features,md5_12,unreadable,normalized_rel
1,2020年度精选策略,01 AdaptiveMA自适应均线 过滤器 期货多品种模型 收益稳定增长.txt,2020年度精选策略\01 AdaptiveMA自适应均线 过滤器 期货多品种模型 收益稳定增长.txt,14602,333,gbk,True,initialize|run_daily|set_benchmark,a995b964d607,False,normalized\2020年度精选策略\01 AdaptiveMA自适应均线 过滤器 期货多品种模型 收益稳定增长.txt
2,2020年度精选策略,02 我好像破解了聚宽擂台排第一的策略？！.txt,2020年度精选策略\02 我好像破解了聚宽擂台排第一的策略？！.txt,3716,132,gbk,True,initialize|handle_data|set_benchmark|order_target_value|order_value,06d4cf3d7dcc,False,normalized\2020年度精选策略\02 我好像破解了聚宽擂台排第一的策略？！.txt
3,2020年度精选策略,03 机器学习多因子策略.txt,2020年度精选策略\03 机器学习多因子策略.txt,4042,100,gbk,True,initialize|run_daily|set_benchmark|order_target_value|get_fundamentals,7d9acec488d4,False,normalized\2020年度精选策略\03 机器学习多因子策略.txt
4,2020年度精选策略,04 趋势交易能赚钱吗？商品期货动量效应挖掘初探.txt,2020年度精选策略\04 趋势交易能赚钱吗？商品期货动量效应挖掘初探.txt,14603,337,gbk,True,initialize|run_daily|run_weekly|set_benchmark,1bcbbf3ef9bc,False,normalized\2020年度精选策略\04 趋势交易能赚钱吗？商品期货动量效应挖掘初探.txt
5,2020年度精选策略,05 兄台且慢，去天台排队不如看看这个策略先.txt,2020年度精选策略\05 兄台且慢，去天台排队不如看看这个策略先.txt,5591,176,gbk,True,initialize|run_daily|set_benchmark|order_target_value|get_price|get_fundamentals,eaddc3f9db4e,False,normalized\2020年度精选策略\05 兄台且慢，去天台排队不如看看这个策略先.txt
6,2020年度精选策略,06 为什么股票市值是当前的样子？.txt,2020年度精选策略\06 为什么股票市值是当前的样子？.txt,4797,119,gbk,True,initialize|run_daily|set_benchmark|order_target_value|get_fundamentals,29727236e229,False,normalized\2020年度精选策略\06 为什么股票市值是当前的样子？.txt
7,2020年度精选策略,07 穿越牛熊基业长青的价值精选策略.txt,2020年度精选策略\07 穿越牛熊基业长青的价值精选策略.txt,8122,223,gbk,True,initialize|run_monthly|set_benchmark|order_target_value|order_value|get_fundamentals,311220235636,False,normalized\2020年度精选策略\07 穿越牛熊基业长青的价值精选策略.txt
8,2020年度精选策略,08 MACD单因子多头策略.txt,2020年度精选策略\08 MACD单因子多头策略.txt,14426,452,gbk,True,initialize|run_daily|set_benchmark|order_target_value,99873fd0bc17,False,normalized\2020年度精选策略\08 MACD单因子多头策略.txt
9,2020年度精选策略,09 商品期货 多品种日频双均线模型 作为给入门者的小礼物.txt,2020年度精选策略\09 商品期货 多品种日频双均线模型 作为给入门者的小礼物.txt,14573,338,gbk,True,initialize|run_daily|set_benchmark,e15f0de31183,False,normalized\2020年度精选策略\09 商品期货 多品种日频双均线模型 作为给入门者的小礼物.txt
10,2020年度精选策略,10 追三板策略.txt,2020年度精选策略\10 追三板策略.txt,5602,170,gbk,True,initialize|handle_data|run_daily|before_trading_start|set_benchmark|order_value|get_fundamentals,1b2d37a2a7d9,False,normalized\2020年度精选策略\10 追三板策略.txt
11,2020年度精选策略,11 酒股地中短线策略.txt,2020年度精选策略\11 酒股地中短线策略.txt,1835,58,gbk,True,initialize|run_daily|order_value|get_fundamentals,7fb6fa56df89,False,normalized\2020年度精选策略\11 酒股地中短线策略.txt
12,2020年度精选策略,12 【均值回归】基于zscore的均值回归策略（胜率100%）.txt,2020年度精选策略\12 【均值回归】基于zscore的均值回归策略（胜率100%）.txt,3092,83,gbk,True,initialize|run_daily|set_benchmark|order_target_value|get_price,097532e34002,False,normalized\2020年度精选策略\12 【均值回归】基于zscore的均值回归策略（胜率100%）.txt
