library,entry_id,name,class,status,verdict,reason_or_gap,exam_window,signalization,readiness,independence,bonus,priority_score
indicator,IND-TREND-017,MCGINLEY,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=1); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-018,BBI,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=24); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-019,ALLIGATOR,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=34); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-020,GMMA,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=60); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-021,GANN_HILO,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=10); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-001,MA,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=60); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-002,EMA,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=26); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-003,WMA,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=10); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-004,DEMA,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=24); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-005,MACD,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=35); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-006,ADX,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=28); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-007,DMI,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=15); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-008,CCI,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=14); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-009,SAR,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=2); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-010,TRIX,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=48); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-011,DKX,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=29); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-012,HMA,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=24); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-013,ZLEMA,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=31); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-014,KAMA,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=11); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-015,VORTEX,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=15); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-TREND-016,SUPERTREND,trend,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=10); 与C4-v1同源预检:MA20乖离","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","趋势族: 均线/通道乖离截面排名多头, 与 f_ma_gap 同源预检",3,1,0,11
indicator,IND-MOM-015,TSI,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=38); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
