table,rows,time_col,t_min,t_max,n_columns,granularity_note,consumption_status,note
alt_regime_signal,20822,signal_date,1989-11-14,2026-09-16,7,日频信号(8 信号),已消费(本体),"C-1/C-2 消费批信号落点: F4/F7/F8/F11/F12/F14/F15/F23 共 8 信号 20,822 行"
alt_shipping_index,44958,trade_date,1988-10-19,2026-09-16,7,日频(7 指数),部分消费/排除,"BDI 动量已消费(F4); 船型结构 F5/油轮 F6 未消费但属 BDI 族, 按排除令不挖, 记录备查"
alt_stock_comment,20786,trade_date,2026-09-11,2026-09-16,12,日频截面(现仅 4 个交易日),未消费/缺积累,"消费计划 F1-F3, 现仅 4 个交易日/5,197 股次, 需 ≥20 日"
alt_sz_air_quality_daily,54124,monitor_time,2015-01-01 00:00:00,2026-09-14 00:00:00.0,10,,未消费,"AQI 4,098 日×30 监测点 2015 起, 假设弱(情绪通道降权)"
alt_sz_air_quality_region,52802,monitor_time,2013-11-08 00:00:00,2026-09-15 00:00:00.0,16,,未消费,"区域 AQI 4,695 日 2013 起, 同上"
alt_sz_climate_hist,836861,,,,10,"日频(20,696 日)",未消费,"深圳气候长史 20,696 日(1970 错行起/主体 1951+), 候选 F9 增强"
alt_sz_enterprise_year,44,,,,15,,静态/低频,"44 行年度, 非可考"
alt_sz_env_meteor,83544,datetime,2013-01-14 16:57:58,2026-09-16 10:36:02,12,,未消费,"环境气象 4,982 日 3 类"
alt_sz_ground_obs,648159,crt_time,2015-02-09 21:01:51,2026-09-15 23:00:57,12,"日频(4,246 日)",未消费,"深圳地面观测 4,246 日(2015-01 起)日频连续, 候选温度距平通道"
alt_sz_house_area,59089,stat_date,2018-01-01,2026-09-15,7,,未消费,"分区面积口径 3,031 日 2018 起"
alt_sz_house_daily,443251,tj_date,2017-01-03,2026-09-15,11,"日频(3,371 个成交日,2017-2026 连续)",未消费,"深圳楼市日成交 2017-01 起 3,371 日连续, 地产链高频同步指标候选"
alt_sz_house_listing,1200000,publish_date,2022-02-18,2024-06-17,12,,未消费/断更,"挂牌数据止于 2024-06-17, 断更 2 年+"
alt_sz_house_presale,2155,issued_date,2011-01-06,2026-09-10,18,,未消费,"预售证 2,155 条 2011 起, 事件稀疏"
alt_sz_marine_forecast,590689,forecast_time,1970-01-01 00:00:00,2026-09-21 00:00:00,27,,未消费,"海洋预报 4,604 日 2014 起(含预报日 2026-09-21, PIT 注意发布时点)"
alt_sz_market_subject,11,,,,12,,静态/低频,"11 行年度主体数, 非可考"
alt_sz_port_monthly,1168,month,2018-01-01,2025-07-01,6,月频(7 序列),未消费/断更,"港口月度 7 序列 2018-01..2025-07, 90 点+断更 1 年"
alt_sz_reservoir_level,75837379,,,,6,,未消费,"水库水位 225 站 2,403 日 2020-01..2026-07(断更), 水电代理假设中弱"
alt_sz_reservoir_rain_day,574801,date,2019-06-05,2026-09-03,5,,未消费,"库区降雨 217 库 2,367 日 2019-06 起"
alt_sz_reservoir_rain_month,13741,month,201901,202608,5,,未消费,月降雨 201901-202608
alt_sz_reservoir_station,485,,,,4,,静态字典,485 站元数据
alt_sz_stat_analysis,7,,,,5,,文本,"7 行分析报告, 非结构化"
alt_sz_stat_monthly,34064,report_date,2019-02-01,2025-06-01,11,月频(17 序列),未消费,"深圳统计月报 17 序列 201902-202506, 发布滞后月频"
alt_sz_visibility,28794,,,,9,,缺积累,15 天(2026-09-02 起)
alt_sz_weather_warning,18712,crt_time,2012-08-09 15:03:56,2026-09-14 19:53:37,18,事件流(发布时点 issue_ts),未消费,"深圳天气预警 18,712 条 2008-07 起 14 类, 事件日历候选"
alt_typhoon_landfall_history,845,,,,12,,关联消费,F7 台风事件已消费但 regime 止于 2018-11; 登陆史 1949-2018 静态
alt_typhoon_names,1260,start_time,2000-01-01,2017-05-01,8,,静态字典,"命名表 2000-2017, 非时序"
alt_typhoon_track,250210,crt_time,2017-08-30 14:51:47,2026-09-13 17:20:28,25,"路径点(每风暴数小时一报,issue_ts)",部分消费,"F7 已消费(止 2018); 路径点 2004-08 起 597 风暴, 2018 后未消费段可考"
weather_data,8433,record_date,2026-08-04,2026-09-15,22,,部分消费,F8 温度距平已消费(仅 57 行 2026-08 起); 40 城仅 29 个记录日→积累不足
hog_futures_core,417,trade_date,2025-07-28,2026-09-16,3,"日频(417 日,2025-07 起)",关联消费,"F10 期现价差未消费但期货仅 1 年(2025-07 起 417 行), WFA 8 折不可行→缺数据档"
hog_province_spot,980,trade_date,2026-07-29,2026-09-15,5,,部分消费,F12 分省离散已消费(69 行 regime); 表本身 2026-07 起 980 行
hog_spot_index,583,trade_date,2015-01-05,2026-09-14,9,"周频(583 周,2015 起)",部分消费,"F11 周期相位已消费(1,064 行 regime 2015-12 起); 增量变换受同源约束"
calendar_event,797,event_date,2021-08-20,2026-12-31,8,制度事件日(12 类×122 月),未消费,"12 类制度事件×122 月(LPR 公布/期权到期/期指交割/月末/hk 通道), 事件日历候选"
ipo_calendar,6808,trade_date,2026-08-19,2026-09-15,13,,未消费/缺积累,"17 个交易日窗口(2026-08-19 起), 不可考"
ipo_schedule,0,ipo_date,1970-01-01,1970-01-01,13,,空表,0 行
