method_id,method_name,source_lane,regime_fit,data_needed,tables_fields,availability,algo_sketch,cost_basis,testability,prereg_card
M1,正T回踩低吸,A股,单边上涨/强势震荡,分钟K线+均线,kline_etf_1min(510300 2019+ 满覆盖)/kline_etf_15min,高,1min价<X%于当日VWAP企稳→买滚动仓→回归VWAP或EOD卖,Q5往返8.4bp/Owner-001 6.7bp,高,t0_prereg_vwap_revert.md
M2,反T冲高减仓,A股,下降/冲高乏力,分钟K线+均线,kline_etf_1min/kline_etf_15min,高,1min价>X%于当日VWAP滞涨→卖底仓→回归VWAP买回,Q5往返8.4bp/Owner-001 6.7bp,高,无（M1镜像，暂不单独立卡）
M3,底仓T框架,A股,全行情(框架),分钟K线+额度记账,kline_etf_1min,高,M1/M2叠加底仓分离记账；做T臂≤前收持仓,t0_cost_model.py HIGH_LIQUIDITY 10bp/边,高（框架级，归入E4三臂归因）,无（S-OWNER-001 E4规格承担）
M4,分时均线偏离T,A股,震荡日,1min K线,kline_etf_1min(510300 452397行),高,偏离VWAP超阈值反向、回归平仓,Q5往返8.4bp,高（与M1同族）,t0_prereg_vwap_revert.md（合并）
M5,竞价缺口T,A股ETF,消息缺口日,竞价逐笔委托,auction_book(267万行,510300=0行),ETF无料/个股有料,竞价量价强弱→开盘方向单,auction滑点无校准,低(ETF)/中(个股),无（缺料登记）
M6,开盘脉冲T,A股,情绪脉冲日,1min K线,kline_etf_1min,高,开盘30min直线冲高无承接→反向,Q5往返8.4bp,中高,无（待M1结果后定）
M7,尾盘异动T,A股,尾盘异动日,1min K线,kline_etf_1min,高,14:30后放量拉抬/跳水→隔夜或次日回补,Q5往返8.4bp+隔夜敞口,中高,无
M8,网格T,A股ETF/币圈,震荡市,分钟K线+ATR,kline_etf_1min/crypto_kline_daily,高(粗),中枢±0.5-1%网格;趋势过滤暂停,Q5往返8.4bp(币圈maker费另计),中（参数族大多重检验风险高）,无
M9,事件驱动T,A股,除权/申赎/调仓日,事件日历+IOPV,无事件日历表,缺料,事件前后波动抬升做T,事件滑点无校准,低,无（缺料登记）
M10,涨停撬板/打板T,A股,情绪高潮期,五档盘口+情绪数据,tick_depth_5(3040万行,510300仅9天),薄,炸板回封/地天板撬板;冰点禁手,DABAN_EVENT 20bp/边(t0_cost_model.py),低（料薄）,无（缺料登记）
M11,大盘共振T,A股,大盘极值日,指数分钟+标的分钟,000300分钟全空;510300可代理,中(降级腿已考),三重共振极值点出手（T车道已考）,Q5往返8.4bp,已考RED(T.md +0.88bp/边),T_preregister.md(前役)
M12,TD波段+底仓T臂,A股,震荡/不确定regime,日线TD+小时动量+regime快照,kline_daily/regime_snapshot_history,高,regime门+TD建仓+小时级做T臂,全套H2成本,中（E4规格在案未跑）,S-OWNER-001卡§四承担
C1,资金费率carry,币圈,高正funding期,funding历史+两腿行情,hl_funding_history(466万行/234币,2023-05起)/crypto_kline_daily(70币13月),高,现货多+永续空delta中性吃funding;年化>阈值开仓,maker-taker分层费+资金费+再平衡滑点,高（纸面配对可考）,t0_prereg_funding_carry.md
C2,币圈网格,币圈,横盘震荡,分钟级K线,缺分钟料(仅日线),低,区间网格挂单;趋势暂停,maker 0费/返佣假设需场馆核实,低（料粗）,无
C3,maker返佣做市,币圈,高流动币对,L2深度+费率结构,无L2料,缺料,双边挂单吃价差+返佣,返佣-逆向选择净额,不可考,无（缺料登记）
C4,清算链wick反转,币圈,极端去杠杆日,清算流+OI+funding,hl_liquidation_raw(1行=空表),缺料,liquidity sweep+reclaim反转,插针滑点无校准,不可考,无（缺料登记）
