entry_id,pattern,cell,p_ex10_pct,p_t10,engine_impl,authority_def,deviation,evidence_level,sources,fix_ticket
PAT-CANDLE-001,Hammer 锤子线,向上,-0.47,-17.2,"完全委托TA-Lib CDLHAMMER: 小实体(<10日均体)+下影>10日均影+上影<极短均影+实体<=前低+Near容差; 恒+100; 无趋势前提(TA-Lib源码注释自认 'a hammer must appear in a downtrend, while this function does not consider it'); 本地探针实证: 同一锤形在上涨/横盘/下跌后发射与趋势无关","锤子线必须出现在一段下跌之后(ChartSchool/Investopedia/Nison); 长下影>=2倍实体, 上影极小, 看涨反转; 趋势前提=定义核心构成要件",material-wrong,L1+L2,TA-Lib ta_CDLHAMMER.c(GitHub raw)+本地行为探针; ChartSchool Candlestick Bullish Reversals; Investopedia Hammer,引擎包装层加20日前置下跌过滤重考(任务B已执行)
PAT-CANDLE-008,Hanging Man 上吊线,向下,+0.18,+4.5,TA-Lib CDLHANGINGMAN: 锤形+实体>=前高-Near; 无趋势检查(源码注释自认 up-trend not considered); 无体色要求,上吊线必须出现在一段上涨之后(ChartSchool: after an advance); 形状同锤子线但位置决定看跌语义,material-wrong,L1+L2,ta_CDLHANGINGMAN.c; ChartSchool Candlesticks and Resistance,加上下文过滤重考(任务B已执行)
PAT-CANDLE-009,Shooting Star 流星线,向下,+1.05,+18.9,TA-Lib CDLSHOOTINGSTAR: 跳空高于前实体+长上影+极短下影; 无趋势检查(源码注释自认); 恒-100,流星线必须出现在上涨后(ChartSchool/Investopedia); 看跌反转,material-wrong,L1+L2,ta_CDLSHOOTINGSTAR.c; Investopedia Shooting Star,"P实测显著反向(+1.05%): 无上下文时超跌途中的流星形混入, 被'跌得深->反弹'基因污染; 加20日前置上涨过滤重考(任务B已执行)"
PAT-CANDLE-007,Inverted Hammer 倒锤头,向上,-0.03,-1.0,TA-Lib CDLINVERTEDHAMMER: 流星形恒+100; 无趋势检查,倒锤头必须出现在下跌后(Investopedia/ChartSchool); 看涨反转,material-wrong,L1+L2,ta_CDLSHOOTINGSTAR.c同族; Investopedia Inverted Hammer,"加下跌过滤(任务B未单列,族内同因)"
PAT-CANDLE-004,Morning Star 晨星,向上,+0.10,+1.5,TA-Lib CDLMORNINGSTAR(evening镜像): 长白体+跳空短星+黑体收盘<前收-0.3x体(穿透参数0.3); 无趋势检查(镜像源码注释自认),"晨星必须出现在下跌后(ChartSchool); 第三日收盘深入第一日实体(教材常写中点以上, TA-Lib 0.3更宽松)",material-wrong,L1+L2,ta_CDLEVENINGSTAR.c(镜像); ChartSchool,加下跌过滤+穿透0.5重考(任务B已执行)
PAT-CANDLE-022,Morning Doji Star 晨星十字,向上,+0.02,+0.2,TA-Lib同族: 第二日为十字星; 无趋势检查,"同晨星, 须在下跌后",material-wrong,L1+L2,ta_CDLEVENINGDOJISTAR.c同族; ChartSchool,同上
PAT-CANDLE-005,Evening Star 黄昏星,向下,-0.48,-6.3,"TA-Lib CDLEVENINGSTAR: 长白+跳高短星+黑体收盘<前收-0.3x体; 无趋势检查, 源码注释原文 'an evening star is significant when it appears in an uptrend, while this function does not consider the trend'",黄昏星必须出现在上涨后(ChartSchool); 看跌反转,material-wrong,L1+L2,ta_CDLEVENINGSTAR.c引文; ChartSchool,加上涨过滤+穿透0.5重考(任务B已执行)
PAT-CANDLE-023,Evening Doji Star 黄昏十字星,向下,-0.60,-4.7,TA-Lib同族; 无趋势检查,"同黄昏星, 须在上涨后",material-wrong,L1+L2,ta_CDLEVENINGDOJISTAR.c同族; ChartSchool,同上
PAT-CANDLE-026,Dark Cloud Cover 乌云盖顶,向下,-0.44,-4.9,"TA-Lib CDLDARKCLOUDCOVER: 前日长白+当日黑+开>前高+收<前收-0.5x体(默认穿透0.5); 无趋势检查, 源码注释自认 'significant when it appears in an uptrend...does not consider it'","乌云盖顶必须出现在上涨后(StockCharts/Investopedia); 教材开盘条件多写'高于前收'(TA-Lib用前高更严), 收盘过前实体中点",material-wrong,L1+L2,ta_CDLDARKCLOUDCOVER.c引文; Investopedia Dark Cloud Cover,加上涨过滤重考(任务B已执行)
PAT-CANDLE-025,Piercing 刺透线,向上,+0.50,+6.7,TA-Lib CDLPIERCING(乌云镜像); 无趋势检查,刺透线必须出现在下跌后(ChartSchool),material-wrong,L1+L2,ta_CDLPIERCING.c同族; ChartSchool,"加下跌过滤(任务B未单列,族内同因)"
