md5_12,year,orig_name,defer_reason,note
7d9acec488d4,2020年度精选策略,03 机器学习多因子策略.txt,fundamental_gate,基本面/财务数据选股门（窗口内数据缺失）
29727236e229,2020年度精选策略,06 为什么股票市值是当前的样子？.txt,fundamental_gate,基本面/财务数据选股门（窗口内数据缺失）
311220235636,2020年度精选策略,07 穿越牛熊基业长青的价值精选策略.txt,fundamental_gate,基本面/财务数据选股门（窗口内数据缺失）
1b2d37a2a7d9,2020年度精选策略,10 追三板策略.txt,fundamental_gate,基本面/财务数据选股门（窗口内数据缺失）
7fb6fa56df89,2020年度精选策略,11 酒股地中短线策略.txt,fundamental_gate,基本面/财务数据选股门（窗口内数据缺失）
376825191613,2020年度精选策略,14 抗击熊市的中短期低市值策略.txt,fundamental_gate,基本面/财务数据选股门（窗口内数据缺失）
d46105bf6b37,2020年度精选策略,16 投资学作业.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
c961432c92a6,2020年度精选策略,23 Principle by Jim Slater 祖鲁法则在A股的实现与改进.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
f1d915a56856,2020年度精选策略,24 自选策略1.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
f3258b0eceac,2020年度精选策略,25 简单市值轮动策略-学习.txt,fundamental_gate,基本面/财务数据选股门（窗口内数据缺失）
5e3284032a17,2020年度精选策略,26 向导式-1.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
4bd0d8556d39,2020年度精选策略,28 收益策略.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
ca0ee6db6dff,2020年度精选策略,30 基于LSTM模型预测股票价格走势.txt,ml_model_dependent,LSTM 价格预测
22d7be168fb9,2020年度精选策略,32 测试策略1.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
e27c2ad6a1d9,2020年度精选策略,33 买入每个行业市值最大的股票.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
aca79475ff10,2020年度精选策略,34 成长策略.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
0875366f605b,2020年度精选策略,35 投资学作业——简单多因子选股策略.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
69c6514f4f6c,2020年度精选策略,36 投资学作业——简单多因子选股策略改进.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
6a58fdc80835,2020年度精选策略,37 个股止损.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
aabe5d623fcc,2020年度精选策略,38 一个简单的跟踪聪明钱策略.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
ae32579896ed,2020年度精选策略,39 因子分析——利用JoinQuant因子分析模块选取因子并封装为策略.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
ea66a380bf24,2020年度精选策略,40 kdj指标配合accer过滤.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
cad1c93b5811,2020年度精选策略,41 多因子模型（三）-交易回测.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
b1ab2a40225a,2020年度精选策略,42 低估值+TRIX+RSI 低回撤策略.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
b13cef3dba2d,2020年度精选策略,43 无模型评估的多因子模型.txt,fundamental_gate,基本面/财务数据选股门（窗口内数据缺失）
3238a5ce80c8,2020年度精选策略,44 新手初来，写了一个价值投资策略.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
053ef7a9432a,2020年度精选策略,46 Get API 新技能，研究中写策略并回测.txt,not_strategy,Get API 功能演示
8cb17c4ff966,2020年度精选策略,47 次新小盘策略.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
d1e828937339,2020年度精选策略,48 再测一支.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
acdf925b742c,2020年度精选策略,51 HS300--随机森林拐点识别.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
74a017fcff13,2020年度精选策略,53 小市值策略.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
8e908e8202ef,2020年度精选策略,54 中长线买入卖出点选择.txt,moneyflow_gap,资金流向 5 日门（money_flow 无历史）
6d5282552594,2020年度精选策略,56 爱神的箭放声大哭.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
32434712c440,2020年度精选策略,57 黄泽森策略.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
2e39d6ab7776,2020年度精选策略,58 MACD金叉买入，死叉卖出.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
699aa1e11647,2020年度精选策略,60 投资期末作业.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
a5ac9cc45ab3,2020年度精选策略,61 向导式策略生成器生成的成长股精选策略.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
5dcda1c756db,2020年度精选策略,62 选股策略.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
4da841c734ae,2020年度精选策略,63 向导式.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
73002e0a22c6,2020年度精选策略,64 12年年化34%，Sharpe1.2，银行股轮动.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
6cc23b6ee353,2020年度精选策略,67 多因子回测完整模板（筛选和买卖条件强于‘策略生成器’）.txt,fundamental_gate,基本面/财务数据选股门（窗口内数据缺失）
806b3463b451,2020年度精选策略,68 板块轮动不动？.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
4ee92eeb0c98,2020年度精选策略,71 【投资学】CAPM单因子回归模型+ROE股票池（含止损）.txt,fundamental_gate,基本面/财务数据选股门（窗口内数据缺失）
860a82a4299d,2020年度精选策略,73 跟着港资（北向资金）买A股.txt,northbound_gap,北向资金数据 2024-09 起（窗口空）
ca11a1a28636,2020年度精选策略,74 基于沪深300的增强.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
e2826b29007e,2020年度精选策略,75 财务因子策略.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
846f0295fa77,2020年度精选策略,"80 向导式 价值分析(一),成功避开股灾,大盘震荡跌时小涨.txt",non_pv_class,非量价类（标题与内容判读不属于本批口径）
59605f4683a5,2020年度精选策略,81 申万行业轮动策略.txt,fundamental_gate,基本面/财务数据选股门（窗口内数据缺失）
4daad21e0928,2020年度精选策略,82 次新+小市值+KAMA择时 轮动.txt,fundamental_gate,基本面/财务数据选股门（窗口内数据缺失）
2810197d9e60,2020年度精选策略,84 投资策略说明.txt,non_pv_class,非量价类（标题与内容判读不属于本批口径）
