candidate_id,theme,hypothesis_zh,mechanism_hint,horizon,universe,birth_channel,birth_batch,birth_source,evidence_path,pre_registered_direction,pre_registered_test
CAND-831bbb475e32,锂电链,锂电材料上游成本冲击传导：锂电材料环节（正极/负极/电解液龙头等权组合）20日收益显著上行（涨价冲击）时，下游电池厂组合未来5-20日相对收益承压（超额期望<0），材料供应商相对占优——方向写死为上游>下游。,成本传导：材料涨价挤压电池厂毛利（转嫁不完全时）。证据边（暂存台账batch1）：中科电气(负极)→亿纬、天赐材料(电解液)→锂电池制造商、当升科技(固态材料)→卫蓝新能源、宁德时代(动力电池)→浙江远景，confidence均0.95,5-20日,锂电链成分股（敞口矩阵top暴露+ig_node_company role=龙头/核心）,I,E1I-20260918-T8,research_feed_batch1 rows15/17/37/42 conf0.95; .runtime/tmp/igalpha2_20260918/research_staging_batch1.csv,docs/_working/industry_chain_alpha/c_research_feed/research_feed_batch1_staging_ledger.md#3(rows15/17/37/42); .runtime/tmp/igalpha2_20260918/research_staging_batch1.csv,上游材料组合20日收益>+10%窗内，下游电池厂前向5-20日超额<0；上游自身>0,快检：敞口矩阵暴露加权上下游多空价差Spearman+事件窗t检验（IS 2020-2023）；过审后E4 f06_e4_wfa_exam 8折（IS冻结+OOS 2024-2026，DSR/PBO）
CAND-4266bfd43e4f,风电链,风电链零部件→整机成本传导：塔筒法兰/铸件等零部件环节价格上行期（零部件龙头组合20日收益为正），整机环节（金风科技等）前向5-20日相对收益承压——方向写死为上游>下游。,整机厂对上游零部件议价受机组中标价约束，成本上行挤压毛利。证据边（暂存台账batch1）：恒润股份(风塔法兰)→维斯塔斯/金风科技，confidence 0.95,5-20日,风电链成分股（敞口矩阵暴露加权）,I,E1I-20260918-T8,research_feed_batch1 row9 conf0.95; .runtime/tmp/igalpha2_20260918/research_staging_batch1.csv,docs/_working/industry_chain_alpha/c_research_feed/research_feed_batch1_staging_ledger.md#3(row9); .runtime/tmp/igalpha2_20260918/research_staging_batch1.csv,零部件组合20日收益>0窗内，整机组合前向5-20日超额<0,快检（IS 2020-2023）→过审后E4 WFA 8折
CAND-39702a52cb6d,光伏链,光伏链上游器件→下游电站运营传导：光伏玻璃/逆变器器件（IGBT）环节涨价期，下游电站运营环节前向5-20日相对收益承压（度电成本与资本开支挤压）——方向写死为上游>下游。,电站运营方收益率对组件/器件成本敏感，涨价压缩项目IRR。证据边（暂存台账batch1）：南玻A(光伏玻璃)→光伏电站、斯达半导(IGBT)→光伏逆变器客户，confidence均0.95,5-20日,光伏链成分股（上游器件 vs 电站运营两段）,I,E1I-20260918-T8,research_feed_batch1 rows2/31 conf0.95; .runtime/tmp/igalpha2_20260918/research_staging_batch1.csv,docs/_working/industry_chain_alpha/c_research_feed/research_feed_batch1_staging_ledger.md#3(rows2/31); .runtime/tmp/igalpha2_20260918/research_staging_batch1.csv,器件环节组合20日收益>0窗内，电站运营组合前向5-20日超额<0,快检（IS 2020-2023）→过审后E4 WFA 8折
CAND-0a91858b33b2,电子/面板链,面板设备链硬事件响应（ICC-1口径，只做硬事件不做热度）：设备商大额订单/面板厂扩产公告D0发生→经链映射（chain_impact_resolver BFS≤2跳）上游设备环节D+1~D+5正超额，二跳供应商响应减半——方向写死为事件正相关随跳数衰减。,capex扩张期设备商订单领先确认。证据边（暂存台账batch1）：迈为股份(OLED柔性屏弯折激光切割设备)→京东方，confidence 0.95,D+1~D+5,面板/电子链成分股（事件映射器输出标的）,I,E1I-20260918-T8,research_feed_batch1 row32 conf0.95; .runtime/tmp/igalpha2_20260918/research_staging_batch1.csv,docs/_working/industry_chain_alpha/c_research_feed/research_feed_batch1_staging_ledger.md#3(row32); .runtime/tmp/igalpha2_20260918/research_staging_batch1.csv,硬事件D0后设备环节D+1~D+5累计超额>0，二跳<一跳（衰减比<0.5为强、归零为弱）,事件研究（calendar_event+fund_news_data publish_time，前哨滚动窗）→样本达标段E4
CAND-e5f009d13a1b,汽车链,汽车链零部件→整车成本传导：零部件环节价格上行期（零部件龙头组合20日收益为正，反映成本推动/提价），整车厂组合前向5-20日相对收益承压——方向写死为上游>下游。,整车厂年降谈判滞后于原材料上涨，零部件涨价传导至整车毛利。证据边（暂存台账batch1）：泉峰汽车(新能源汽车零部件)→比亚迪，confidence 0.95,5-20日,汽车链成分股（零部件 vs 整车两段）,I,E1I-20260918-T8,research_feed_batch1 row45 conf0.95; .runtime/tmp/igalpha2_20260918/research_staging_batch1.csv,docs/_working/industry_chain_alpha/c_research_feed/research_feed_batch1_staging_ledger.md#3(row45); .runtime/tmp/igalpha2_20260918/research_staging_batch1.csv,零部件组合20日收益>0窗内，整车组合前向5-20日超额<0,快检（IS 2020-2023）→过审后E4 WFA 8折
CAND-14b1858b3bdf,生猪链,生猪价上行regime因子：猪价12周动量为正（上行regime）时，养殖概念组合未来4个完整周收益相对下行regime占优（快检实测-0.23% vs -1.12%，占优约0.9pp/4周，Spearman+0.028，n=72/47）——定位regime/择时输入而非选股因子。,猪周期价格上行期养殖利润扩张先于报表确认。证据件=hog_chain_quickcheck v1.1（119对齐周，残周剔除+完整周前向窗），指纹2b46f30b9b40dda1,4周,猪肉+养鸡概念40只（stock_concept+industry_class锚定）,I,E1I-20260918-T8,hog_quickcheck fp=2b46f30b9b40dda1; exposure_matrix v1.1 loopcheck fp=3c11be7181770f69(commit 30cec4fa49); docs/_working/industry_chain_alpha/a_batch1_construction/a_mining_workbook.md#6,.runtime/tmp/chain_alpha/hog_quickcheck.md; .runtime/tmp/chain_alpha/hog_quickcheck.json; docs/_working/industry_chain_alpha/a_batch1_construction/a_mining_workbook.md#6(A-2); scripts/backtest/hog_chain_quickcheck.py,上行regime组前向4周收益-下行regime组>0（占优）,E4 f06_e4_wfa_exam：IS 2020-2023冻结+OOS 2024-2026，8折DSR/PBO；数据hog_spot_index 2015+
CAND-41fdccecda58,商品敞口,"商品期货动量经敞口矩阵传导：commodity_futures_main 9品种20日动量上行时，敞口矩阵（5,351公司×398链暴露长表）中该品种高暴露下游组合前向5-20日收益承压、上游受益——暴露强度加权方向一致（v1语义：自身角色权重×(1+同链可达衰减和)）。",商品价格→企业成本/收入→股价的链暴露传导。证据件=build_chain_exposure_matrix v1.1（红蓝R2修复+循环检查2轮归零，指纹9e4133661160ffb2）+B线商品两表通电（futures_main 234行9品种/spot_price 54品种）,5-20日,"全A敞口矩阵覆盖5,351公司",I,E1I-20260918-T8,exposure_matrix fp=9e4133661160ffb2; .runtime/tmp/chain_alpha/summary.json; docs/_working/industry_chain_alpha/b_data_sources/b_mining_workbook.md#8,.runtime/tmp/chain_alpha/summary.json; .runtime/tmp/chain_alpha/exposure_matrix.csv; docs/_working/industry_chain_alpha/b_data_sources/b_mining_workbook.md#8,品种动量>0窗内，高暴露下游组前向5-20日超额<0、上游组>0,快检（IS 2020-2023，品种级敞口十分位分层）→过审后E4 WFA 8折
CAND-2637595ebc23,生猪链,生猪期现基差因子：hog_futures_core-hog_spot_index基差/现货（升水幅度）上升→市场对猪价前向预期向好→养殖股前向4周相对收益为正——方向写死为基差与未来收益正相关（预期假说口径，证伪亦为有效检验结论）。,期货价格=市场对现货的前向定价，升水扩张领先基本面改善确认。A簿A-2待挖条目（现货斜率/期现基差/分省价差/猪粮比分层力之基差项）；两表均在库（现货2015+/期货2023-01回补承接B线）,4周,猪肉+养鸡概念40只,I,E1I-20260918-T8,docs/_working/industry_chain_alpha/a_batch1_construction/a_mining_workbook.md#2 A-2行（期现基差待挖）; hog三件套深度docs/_working/industry_chain_alpha/a_batch1_construction/a_mining_workbook.md#3,docs/_working/industry_chain_alpha/a_batch1_construction/a_mining_workbook.md#2(A-2); docs/_working/industry_chain_alpha/a_batch1_construction/a_mining_workbook.md#3,基差/现货分位top组前向4周超额-bottom组>0,快检分层（基差5分位，2015+现货对齐窗）→过审后E4 WFA 8折
CAND-3c67edd3e508,生猪链,猪粮比深度亏损反转因子：猪粮比（生猪现货/玉米期货主力）跌破5:1并持续≥4周（深度亏损）→能繁产能去化加速→第8-12周窗口养殖股超额收益转正（周期反转前瞻）——方向写死为深亏后反转。,"亏损加深驱动去产能，供给收缩传导至8-12周后价格与养殖利润。A簿A-2待挖条目（猪粮比项）；玉米m期货2015起2,847行已通电（B线§6），生猪现货2015+在库",8-12周,生猪养殖链成分股,I,E1I-20260918-T8,docs/_working/industry_chain_alpha/a_batch1_construction/a_mining_workbook.md#2 A-2行（猪粮比待挖）; docs/_working/industry_chain_alpha/b_data_sources/b_mining_workbook.md#6(玉米期货通电),docs/_working/industry_chain_alpha/a_batch1_construction/a_mining_workbook.md#2(A-2); docs/_working/industry_chain_alpha/b_data_sources/b_mining_workbook.md#3; docs/_working/industry_chain_alpha/b_data_sources/b_mining_workbook.md#6,深亏事件窗后第8-12周养殖股累计超额>0（对照非深亏窗<0）,快检事件窗（2015+现货窗，重叠窗Newey-West）→过审后E4 WFA 8折
CAND-2a8376bce03a,标定件,"上游成本冲击代理构造对比（标定件，非独立因子）：IO加权上游组合（ig_io_edge coefficient加权，16,859行官方153部门）对下游个股的传导解释力（横截面|R²|与IC幅值）系统性优于龙头等权组合——为ICA-1/ICA-3配方定边权口径。",IO系数度量真实投入结构，理论上比名义龙头归属更贴近成本传导强度。A簿A-3待挖条目（上游代理组合构造：龙头等权vs IO加权）,20日,"敞口矩阵覆盖5,351公司（逐链对比）",I,E1I-20260918-T8,"docs/_working/industry_chain_alpha/a_batch1_construction/a_mining_workbook.md#1 A-3行（待挖）; ig_io_edge 16,859行实测(plan §1.1)",docs/_working/industry_chain_alpha/a_batch1_construction/a_mining_workbook.md#1(A-3); docs/_working/industry_chain_alpha/a_batch1_construction/a_mining_workbook.md#2(A-3行); docs/_working/industry_chain_alpha/industry_chain_alpha_plan.md#2.1(ICA-1),IO加权口径传导R²均值-等权口径>0（横截面配对差）,快检标定（IS 2020-2023逐链配对对比，输出边权口径裁定件供E4配方）——不单独立卷
