id,算法名,来源URL,来源分级,所需数据与粒度（可得性）,预期边际,实现难度,优先级
1,OFI代理_成交签名买卖不平衡,https://arxiv.org/abs/1011.6402,论文,tick_data逐笔(direction字段)2025-01起21个月/个股全深→1/5/15min聚合；真LOB版需tick_depth_5仅2026-07-24起40日=仅观察档,短时价格冲击文献级解释力60-80%（Cont JFE 2014）；日内微结构alpha主候选,M,P1
2,市场日内动量_开盘半小时预测尾盘,https://www.sciencedirect.com（Gao et al. JFE 2018; Chu et al. 2019 A股直接证据）,论文,kline_1min 2021-09起4.7年+指数tick 8.9亿行；半小时段聚合,A股已发表正结果；日内择时/尾盘信号；与今晚auc_gap日内回吐互证,L,P1
3,VWAP偏离回归_条件化做T窄测,https://thevwap.com（社区实践级）+Gao 2018组合过滤,博客/社区,1min/5min重构VWAP；kline_etf_1min至09-18；W3绿区簇（588200/513330/300561等）已定位,做T执行信号：偏离带入场+开盘动量过滤；直接衔接W3绿区结论,L,P1
4,VPIN_成交量桶流毒性,https://www.stern.nyu.edu（Easley-LdP-O'Hara）+https://github.com/yt-feng/VPIN,论文/开源,tick逐笔21个月真体积桶（BVC或direction分类）；1min BVC近似为降级档,流动性风险预警/regime条件化输入；执行择时,M,P2
5,日内Amihud_Night-Day分解,https://afajof.org（Realized Illiquidity FAJ 2023）+SSRN Barardehi-Boguth-Deng,论文,1min 4.7年→日频截面（交易时段vs隔夜price impact拆分）；E盘2000-2021分钟挂回后可拉26年,流动性溢价截面因子改良；隔夜/日内溢价分离,L-M,P2
6,Alpha158特征×LightGBM截面,https://github.com/microsoft/qlib（官方LGBModel基准）,开源,5min bar 2021-09起或日线；特征工程照qlib定义平移,组合级复合alpha；业界标准基准（可对比本仓126池）,M-H,P2
7,GP因子合成_gplearn,https://gplearn.readthedocs.io+CSDN《利用遗传算法进行高频因子挖掘》,开源/社区,prereview 126因子+分钟基础特征；fitness=rankIC；parsimony压制膨胀,非线性组合增量；合成产物按1个试验源计N（DSR门）,M,P2
8,席位分层因子_游资接力,https://wallstreetcn.com（2021-10-31 量化私募席位20日+1.43%）+zhuanlan.zhihu.com,社区,dragon_tiger_seat 2022-01..2024-02聚合4.6年（断供待核）；席位类型分层（机构/游资/营业部胜率）,今晚F3席位净买h5 +0.079已证→席位类型维度深化,M,P2
9,隔夜-日内分解_反转变体,https://www.researchgate.net（T+1隔夜负收益）+SciOpen Wang 2022,论文,日线2005起+1min开盘段；隔夜收益排序→日内持有（底仓T语义）,A股特异结构（T+1）；与做T底仓语义天然衔接,L,P2
10,AlphaNet因子挖掘网络,https://github.com/jeremy-feng/AlphaNet+华泰AI系列32,开源/社区,5min量价矩阵（张量输入）；GPU算力需求,端到端因子挖掘+合成一体化；研报宣称增量显著,H,P3
11,WorldQuant101批量IC筛,https://arxiv.org/pdf/1601.00991+https://github.com/dolphindb/DolphinDBModules/blob/master/wq101alpha/README_CN.md,论文/开源,日线2005起+5min平移；DolphinDB参考实现照抄算子,填充因子池；须与本仓126池+clone_guard去重（WQ101本质是GP挖出的历史产物）,L,P3
12,LLM新闻情绪因子_正式化,https://afajof.org（Chen 2025）+López-Lira & Tang 2023,论文/社区,news_data 823万行+LSG网关打分管线；research_report全文20GB未搬（数据缺口登记）,今晚news_sent intra IC +0.262（n=92日）的正式化路径；覆盖广度压过词典法,H,P1_later（前置=NLP管线+Owner批准LLM用量）
13,热度反转因子_方正口径,https://finance.sina.com.cn（方正金工2025-03研报宣称周IC4.54%）,社区,hot_rank累计≥120日（约2026-12可达）；hot_value列全空=缺口,情绪剧变时段反转；研报宣称未经独立复核,L,P3_数据积累
14,竞价不平衡_观察档回补考试,本仓altdata_b_preregistration.md（预注册已冻结）,仓内,auction_book回补≥120全快照日（当前17日）,auc_gap -0.173/94%同号与auc_imb +0.038的正式考,L,P3_数据积累
15,Alpha360原始量价端到端,https://github.com/microsoft/qlib/blob/main/examples/benchmarks/README.md,开源,1min/5min张量；GPU,端到端弱工程基准；对照GP/LGBM增量,H,P3
