entry_id,name_en,name_zh,class,category,mapped_table_name,rows,first_date,last_date,n_symbols,timeframe,recognition_algorithm,code_path,attribution_note,prereview_reason,backfill_status
PAT-CANDLE-034,Three-Line Strike,三线打击,candlestick_pattern,已覆盖,CDL3LINESTRIKE,9766,2021-09-13,2026-09-18,4432,daily,rule_based,src/zephyr/signal_ashare/strategy_signal/candlestick_scanner.py,预审误判(名称映射断链): 表内 CDL3LINESTRIKE 9766行 2021-09-13..2026-09-18,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CANDLE-035,Three Stars in the South,南方三星,candlestick_pattern,部分覆盖,CDL3STARSINSOUTH,1,2025-07-17,2025-07-17,1,daily,rule_based,src/zephyr/signal_ashare/strategy_signal/candlestick_scanner.py,有数据但窗口/密度存疑: CDL3STARSINSOUTH 1行 2025-07-17..2025-07-17,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CANDLE-038,Stick Sandwich,条形三明治,candlestick_pattern,已覆盖,CDLSTICKSANDWICH,5462,2021-09-10,2026-09-17,3337,daily,rule_based,src/zephyr/signal_ashare/strategy_signal/candlestick_scanner.py,预审误判(名称映射断链): 表内 CDLSTICKSANDWICH 5462行 2021-09-10..2026-09-17,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CANDLE-043,Stalled Pattern,停滞形态,candlestick_pattern,已覆盖,CDLSTALLEDPATTERN,11205,2021-09-17,2026-09-18,4635,daily,rule_based,src/zephyr/signal_ashare/strategy_signal/candlestick_scanner.py,预审误判(名称映射断链): 表内 CDLSTALLEDPATTERN 11205行 2021-09-17..2026-09-18,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CANDLE-053,Side-by-side White Lines,并排阳线,candlestick_pattern,(c)待查,,0,,,0,daily,rule_based,src/zephyr/signal_ashare/strategy_signal/candlestick_scanner.py,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CANDLE-054,Rising/Falling Three Methods,上升/下降三法,candlestick_pattern,已覆盖,CDLRISEFALL3METHODS,1949,2021-09-23,2026-09-18,1602,daily,rule_based,src/zephyr/signal_ashare/strategy_signal/candlestick_scanner.py,预审误判(名称映射断链): 表内 CDLRISEFALL3METHODS 1949行 2021-09-23..2026-09-18,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CANDLE-057,Upside/Downside Gap Three Methods,跳空三法,candlestick_pattern,已覆盖,CDLXSIDEGAP3METHODS,39925,2021-09-03,2026-09-18,5571,daily,rule_based,src/zephyr/signal_ashare/strategy_signal/candlestick_scanner.py,预审误判(名称映射断链): 表内 CDLXSIDEGAP3METHODS 39925行 2021-09-03..2026-09-18,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CANDLE-060,Hikkake Modified,日垣修正陷阱,candlestick_pattern,已覆盖,CDLHIKKAKEMOD,7198,2021-09-15,2026-09-18,3413,daily,rule_based,src/zephyr/signal_ashare/strategy_signal/candlestick_scanner.py,预审误判(名称映射断链): 表内 CDLHIKKAKEMOD 7198行 2021-09-15..2026-09-18,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CANDLE-061,Long Line,长线,candlestick_pattern,已覆盖,CDLLONGLINE,1242638,2021-09-15,2026-09-18,5710,daily,rule_based,src/zephyr/signal_ashare/strategy_signal/candlestick_scanner.py,预审误判(名称映射断链): 表内 CDLLONGLINE 1242638行 2021-09-15..2026-09-18,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CANDLE-069,Tweezer Bottom,镊子底（双针探底）,candlestick_pattern,已覆盖,镊子底,704066,2021-09-02,2026-09-18,5710,daily,rule_based,src/zephyr/signal_ashare/strategy_signal/candlestick_scanner.py,预审误判(名称映射断链): 表内 镊子底 704066行 2021-09-02..2026-09-18,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CANDLE-072,Key Reversal (Outside Reversal),关键反转日（外包反转）,candlestick_pattern,已覆盖,关键反转日,1411813,2021-09-02,2026-09-18,5710,daily,rule_based,src/zephyr/signal_ashare/strategy_signal/candlestick_scanner.py,预审误判(名称映射断链): 表内 关键反转日 1411813行 2021-09-02..2026-09-18,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CANDLE-074,Oops Pattern,跳空反向陷阱,candlestick_pattern,已覆盖,Oops跳空反向陷阱,471473,2021-09-02,2026-09-18,5708,daily,rule_based,src/zephyr/signal_ashare/strategy_signal/candlestick_scanner.py,预审误判(名称映射断链): 表内 Oops跳空反向陷阱 471473行 2021-09-02..2026-09-18,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CANDLE-075,Three Gaps (Sanku),三空（酒田五法）,candlestick_pattern,已覆盖,三空,29027,2021-09-06,2026-09-18,5392,daily,rule_based,src/zephyr/signal_ashare/strategy_signal/candlestick_scanner.py,预审误判(名称映射断链): 表内 三空 29027行 2021-09-06..2026-09-18,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CANDLE-079,Weekly Reversals,周线反转（上/下向）,candlestick_pattern,(a)可补扫,周线反转,13777,2026-08-31,2026-09-18,4500,weekly,rule_based,src/zephyr/signal_ashare/strategy_signal/candlestick_scanner.py,检测器在(K线扫描器)但历史未跑: 仅增量窗 13777行 2026-08-31..2026-09-18 || 补扫后全窗覆盖: 566645行 2021-09-16..2026-09-18 /5710股 (run=pb-2021-09-01-2026-09-19),"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",backfilled
PAT-CANDLE-080,Open-Close Reversal,开收反转（升/降势）,candlestick_pattern,(a)可补扫,开收反转,4718,2026-08-31,2026-09-18,2020,daily,rule_based,src/zephyr/signal_ashare/strategy_signal/candlestick_scanner.py,检测器在(K线扫描器)但历史未跑: 仅增量窗 4718行 2026-08-31..2026-09-18 || 补扫后全窗覆盖: 217819行 2021-09-02..2026-09-18 /5709股 (run=pb-2021-09-01-2026-09-19),"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",backfilled
