relative_path,current_ttl,suggested_ttl,confidence,title,doc_type,key_signals,reason
docs/02_enterprise_architecture/architecture_diagram_construction_plan.md,permanent,task_bound,medium,架构图施工方案讨论,construction_plan,"目录=permanent | 标题临时: 施工,施工方案 | 标题灰色: 讨论,方案 | 正文永久: 架构视图,架构原则,不变量 | 正文临时: 报告,记录,施工",标题+doc_type=construction_plan 均为过程性，位于永久区——过程性文件误放，建议移动到 docs/_working/
docs/02_enterprise_architecture/phase_d_full_test_construction_plan.md,permanent,task_bound,medium,阶段D：全量功能测试 — 详细施工方案,construction_plan,"目录=permanent | 标题临时: 施工,施工方案 | 标题灰色: 方案 | 正文永久: 蓝图,blueprint,标准 | 正文临时: 审计,施工,施工方案",标题+doc_type=construction_plan 均为过程性，位于永久区——过程性文件误放，建议移动到 docs/_working/
docs/decomposition/index.md,task_bound,task_bound,medium,decomposition — 目录索引,index,"目录=task_bound | 标题永久: 索引 | 正文永久: index,导航",位于过程性目录，跟随目录语义（标题含永久词['索引']但目录优先）
docs/_working/ghost_commit_automation_assessment.md,task_bound,task_bound,high,GitCommitGateway 自动化能力评估报告,design,"目录=task_bound | 标题临时: 报告,评估 | 正文永久: 裁定,source of truth,入口 | 正文临时: 报告,任务卡,临时",标题强信号(task_bound)，目录一致
docs/_working/ghost_commit_rule_update_proposal.md,task_bound,task_bound,medium,幽灵提交（Ghost Commit）治本——规则更新提案,design,"目录=task_bound | 标题永久: 规则 | 标题临时: 提案 | 正文永久: 规则,rule,约束 | 正文临时: 记录,日志,调研",标题conflict，目录裁决为task_bound: 目录语义: 临时工作区（匹配 docs/_working/）
docs/_working/inward_convergence_audit_report_20260626.md,task_bound,task_bound,high,向内收4原则审查报告 — docs/01_policies_and_standards,audit_report,"目录=task_bound | 标题临时: 报告 | 正文永久: 规则,rule,门禁 | 正文临时: 报告,清理,session",标题强信号(task_bound)，目录一致
docs/_working/trae_060_s5_evidence_audit.md,task_bound,task_bound,high,trae_060 §5 Evidence 精度审计报告,audit_report,"目录=task_bound | 标题临时: 报告,审计 | 正文永久: gate,词表,vocabulary | 正文临时: 报告,审计,评估",标题强信号(task_bound)，目录一致
docs/_working/ttl_doctype_reclassification_handoff.md,task_bound,task_bound,medium,任务：粒子级别全量分析项目 .md 文件，重新分类 ttl + doc_type,log,"目录=task_bound | 标题灰色: 分析 | 正文永久: 蓝图,blueprint,规则 | 正文临时: 报告,report,记录",标题ambiguous，目录裁决为task_bound: 目录语义: 临时工作区（匹配 docs/_working/）
docs/_working/ttl_missing_root_cause_investigation_report.md,task_bound,task_bound,medium,ttl 字段全量缺失根因调研报告 + 裁定 + 治本施工方案,audit_report,"目录=task_bound | 标题永久: 裁定 | 标题临时: 报告,调研,施工,施工方案 | 标题灰色: 方案 | 正文永久: 蓝图,规则,门禁 | 正文临时: 报告,调研,笔记",标题conflict，目录裁决为task_bound: 目录语义: 临时工作区（匹配 docs/_working/）
docs/02_enterprise_architecture/03_governance_reports/blueprint_placement_violations_root_cause_report.md,task_bound,task_bound,medium,蓝图物理位置与 belongs_to 归属链违规——病根调研与裁定报告,audit_report,"目录=task_bound | 标题永久: 蓝图,裁定 | 标题临时: 报告,调研 | 正文永久: 蓝图,blueprint,规则 | 正文临时: 报告,调研,审计",标题conflict，目录裁决为task_bound: 目录语义: 治理报告目录（过程性：容量/调研/清理审查）（匹配 docs/02_enterprise_architecture/03_governance_reports/）
docs/02_enterprise_architecture/03_governance_reports/capacity_report.md,permanent,task_bound,high,域容量报告,audit_report,"目录=task_bound | 标题临时: 报告 | 正文永久: 规则 | 正文临时: 报告,审计",标题强信号(task_bound)，目录一致
docs/02_enterprise_architecture/03_governance_reports/constraint_violations.md,permanent,task_bound,medium,架构约束违规报告,audit_report,"目录=task_bound | 标题永久: 约束 | 标题临时: 报告 | 正文永久: 约束,constraint,gate | 正文临时: 报告",标题conflict，目录裁决为task_bound: 目录语义: 治理报告目录（过程性：容量/调研/清理审查）（匹配 docs/02_enterprise_architecture/03_governance_reports/）
docs/02_enterprise_architecture/03_governance_reports/design_vs_production.md,permanent,task_bound,high,设计态vs运营态统计报告,audit_report,"目录=task_bound | 标题临时: 报告 | 正文永久: 规则 | 正文临时: 报告,审计",标题强信号(task_bound)，目录一致
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_plan.md,permanent,task_bound,high,6 域 ID 连字符→下划线改名执行方案（施工细节版 v1）,construction_plan,"目录=task_bound | 标题临时: 施工 | 标题灰色: 方案 | 正文永久: 蓝图,blueprint,规则 | 正文临时: 调研,audit,施工",标题强信号(task_bound)，目录一致
docs/02_enterprise_architecture/03_governance_reports/d_signal_rename_blocker_adjudication.md,task_bound,task_bound,medium,D-SIGNAL 改名任务卡执行阻塞——病根调研与裁定报告,audit_report,"目录=task_bound | 标题永久: 裁定 | 标题临时: 报告,调研,任务卡 | 正文永久: rule,标准,协议 | 正文临时: 报告,log,调研",标题conflict，目录裁决为task_bound: 目录语义: 治理报告目录（过程性：容量/调研/清理审查）（匹配 docs/02_enterprise_architecture/03_governance_reports/）
docs/02_enterprise_architecture/03_governance_reports/d_signal_rename_plan.md,permanent,task_bound,high,D-SIGNAL* 4 域改名执行方案（施工细节版 v2）,construction_plan,"目录=task_bound | 标题临时: 施工 | 标题灰色: 方案 | 正文永久: 规则,invariant,约束 | 正文临时: 调研,审计,施工",标题强信号(task_bound)，目录一致
docs/02_enterprise_architecture/03_governance_reports/index.md,permanent,task_bound,medium,治理报告索引（03_governance_reports）,index,"目录=task_bound | 标题永久: 索引 | 标题临时: 报告 | 正文永久: 蓝图,约束,门禁 | 正文临时: 报告,调研,施工",标题conflict，目录裁决为task_bound: 目录语义: 治理报告目录（过程性：容量/调研/清理审查）（匹配 docs/02_enterprise_architecture/03_governance_reports/）
docs/02_enterprise_architecture/03_governance_reports/module_id_numeric_sequence_governance_report.md,task_bound,task_bound,medium,module_id 数字序号制双轨治理——病根调研与裁定报告,audit_report,"目录=task_bound | 标题永久: 裁定 | 标题临时: 报告,调研 | 正文永久: 规则,rule,门禁 | 正文临时: 报告,记录,调研",标题conflict，目录裁决为task_bound: 目录语义: 治理报告目录（过程性：容量/调研/清理审查）（匹配 docs/02_enterprise_architecture/03_governance_reports/）
docs/02_enterprise_architecture/03_governance_reports/orphan_cleanup_audit.md,task_bound,task_bound,high,孤儿/僵尸清理统一审查文档,audit_report,"目录=task_bound | 标题临时: 清理 | 正文临时: construction,临时,评估",标题强信号(task_bound)，目录一致
docs/02_enterprise_architecture/03_governance_reports/preexisting_db_issues_investigation_report.md,task_bound,task_bound,high,预存DB问题深度调研报告与治本方案,audit_report,"目录=task_bound | 标题临时: 报告,调研 | 标题灰色: 方案 | 正文永久: 标准,裁定,schema | 正文临时: 报告,记录,调研",标题强信号(task_bound)，目录一致
docs/02_enterprise_architecture/03_governance_reports/schema_health_continuation_plan.md,permanent,task_bound,medium,Schema 健康度治本：延续执行计划（v2 续作）,construction_plan,"目录=task_bound | 标题永久: schema | 正文永久: invariant,约束,constraint | 正文临时: 报告,记录,调研",位于过程性目录，跟随目录语义（标题含永久词['schema']但目录优先）
docs/02_enterprise_architecture/03_governance_reports/schema_health_revised_execution_plan.md,permanent,task_bound,medium,Schema 健康度治本方案：修订执行计划（v2）,construction_plan,"目录=task_bound | 标题永久: schema | 标题灰色: 方案 | 正文永久: 规则,invariant,constraint | 正文临时: 报告,记录,调研",位于过程性目录，跟随目录语义（标题含永久词['schema']但目录优先）
docs/02_enterprise_architecture/03_governance_reports/schema_health_root_cure_plan.md,permanent,task_bound,medium,Schema 健康度治本方案：depgraph.db 漂移修复与死表清理,construction_plan,"目录=task_bound | 标题永久: schema | 标题临时: 清理 | 标题灰色: 方案 | 正文永久: 门禁,gate,裁定 | 正文临时: 记录,迁移记录,调研",标题conflict，目录裁决为task_bound: 目录语义: 治理报告目录（过程性：容量/调研/清理审查）（匹配 docs/02_enterprise_architecture/03_governance_reports/）
docs/02_enterprise_architecture/03_governance_reports/vocabulary_sync_chain_repair_plan.md,permanent,task_bound,medium,Vocabulary 自动同步链路断裂修复方案（施工细节版 v1）,construction_plan,"目录=task_bound | 标题永久: vocabulary | 标题临时: 施工 | 标题灰色: 方案 | 正文永久: 规则,约束,gate | 正文临时: 调研,施工,清理",标题conflict，目录裁决为task_bound: 目录语义: 治理报告目录（过程性：容量/调研/清理审查）（匹配 docs/02_enterprise_architecture/03_governance_reports/）
docs/02_enterprise_architecture/target_architecture/revision_history.md,task_bound,task_bound,medium,target_architecture/ 完整修订历史,log,"目录=permanent | 正文永久: policy,架构视图,invariant | 正文临时: 记录,log,审计",标题无信号，doc_type=log 为过程性类型（优先于目录）
docs/02_enterprise_architecture/_archive/architecture_decisions_pending.md,task_bound,task_bound,medium,待定架构决策文档,reference,"目录=task_bound | 正文永久: 规则,标准,裁定 | 正文临时: 任务卡,session",标题无信号，目录语义: 归档子目录（过程性历史，如 02/_archive/）（匹配 /_archive/）
docs/02_enterprise_architecture/_archive/phase4b_cleanup_construction_plan.md,task_bound,task_bound,high,阶段4 STEP 4b：全量清洁施工方案,construction_plan,"目录=task_bound | 标题临时: 施工,施工方案 | 标题灰色: 方案 | 正文永久: 规则,rule,标准 | 正文临时: 记录,审计,施工",标题强信号(task_bound)，目录一致
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/handoff_instruction.md,task_bound,task_bound,high,6域ID改名执行交接指令（新AI会话一键复制）,operational_rule,"目录=task_bound | 标题临时: 交接,会话 | 正文永久: 规则,标准,gate | 正文临时: 记录,施工,任务卡",标题强信号(task_bound)，目录一致
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/index.md,permanent,task_bound,medium,domain_id_hyphen_rename_taskcards — 6 域 ID 改名任务卡索引,index,"目录=task_bound | 标题永久: 索引 | 标题临时: 任务卡 | 正文永久: 标准,gate,索引 | 正文临时: 报告,任务卡",标题conflict，目录裁决为task_bound: 目录语义: 治理报告目录（过程性：容量/调研/清理审查）（匹配 docs/02_enterprise_architecture/03_governance_reports/）
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/task-ops-2026062621.md,task_bound,task_bound,medium,阶段0备份+阶段1 DB 6域ID改名（4323行，最高风险）,operational_rule,"目录=task_bound | 正文永久: 规则 | 正文临时: 记录,log,施工",标题无信号，doc_type=operational_rule 为过程性类型（优先于目录）
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/task-ops-2026062622.md,task_bound,task_bound,medium,元审查：循环审查修复 OPS-2026062621（DB 6域改名验证）,operational_rule,"目录=task_bound | 正文永久: 标准 | 正文临时: 记录,log",标题无信号，doc_type=operational_rule 为过程性类型（优先于目录）
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/task-ops-2026062623.md,task_bound,task_bound,medium,阶段2 YAML registry+阶段3 生成器脚本修改（4文件，~12处替换）,operational_rule,"目录=task_bound | 标题永久: registry | 正文永久: 规则,rule,标准 | 正文临时: 施工",位于过程性目录，跟随目录语义（标题含永久词['registry']但目录优先）
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/task-ops-2026062624.md,task_bound,task_bound,medium,元审查：循环审查修复 OPS-2026062623（YAML+脚本验证）,operational_rule,目录=task_bound | 正文永久: 标准,标题无信号，doc_type=operational_rule 为过程性类型（优先于目录）
