object_id,lane,name,type,entry_anchor,level,consumers,tests,note,review_status,axis_a,axis_b,axis_c,axis_d,axis_e,axis_f,findings_total,confirmed,rejected,suspended,closeout_status,workbook,reviewer,baseline
V01,p0_money_path,Wilson下界单源,算法,src/zephyr/signal_ashare/strategy_signal/pattern_win_rate_provider.py:42,P0,pattern_evidence_certifier/pattern_signal_runtime,tests/signal_ashare/strategy_signal/test_pattern_win_rate_provider.py,"全仓唯一Wilson实现 || 审查: 公式正确;4xP3:越界TypeError/NULL→0.0冒读/spy死断言/f-string表名 || 收口:反驳者对拍一致+反例修复(rate∉[0,1]/NaN raise fail-closed),10/10绿",已审,已查,已查,已查,已查,已查,已查,4,0,0,0,已收口,docs/_working/deep_review_full/p0_money_path/rpt_v01.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
V02,p0_money_path,四闸证据认证器,闸门,src/zephyr/signal_ashare/strategy_signal/pattern_evidence_certifier.py:186,P0,pattern_lifecycle/pattern_event_job/pattern_signal_runtime,tests/signal_ashare/strategy_signal/test_pattern_evidence_certifier.py; tests/metamorphic/test_fourgate_metamorphic_invariants.py,"WilsonLB+二项+n_eff+BHY四闸 || 审查: 闸C基线回退0.5≠pooled可翻转认证态(机验);六态词汇漂移retired/frozen照常调权;ImportError静默降级 || 收口: P2-1闸C基线回退:确认并治本(load_family_rows恒同步__pooled__键=真实池化基线),回归test_load_family_rows_pooled_key_tracks_real_baseline,14/14绿||P2-2六态词汇漂移+ImportError静默降级:挂起登记(与V08接线合并裁定)",已审,已查,已查,已查,已查,已查,已查,5,1,0,0,已收口,docs/_working/deep_review_full/p0_money_path/rpt_v02.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
V03,p0_money_path,BHY/BH FDR双实现,算法,src/zephyr/factor/analysis/bhy_fdr.py:79 + src/zephyr/strategy_pipeline/bh_fdr.py:42,P0,factor_lifecycle/decay_monitor/certifier/intake/promotion_advisory/auto_mount,tests/factor/test_bhy_fdr.py; tests/strategy_pipeline/test_bh_fdr.py,"双实现=D轴合并嫌疑显式审查项 || 审查: canonical bh_qvalues对NaN零防御静默出错数(机验);双实现决策等价已查无;bh_threshold字段名不一致 || 收口: P2 NaN零防御:确认并治本(bh_qvalues对NaN/Inf/越界raise ValueError,对齐ERROR_CONTRACT),回归test_bh_qvalues_rejects_nan_and_out_of_range,28/28绿||P3字段名/年份:挂起",已审,已查,已查,已查,已查,已查,已查,3,1,0,0,已收口,docs/_working/deep_review_full/p0_money_path/rpt_v03.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
V04,p0_money_path,n-trial台账,模块,src/zephyr/backtest/core/n_trial_ledger.py:179,P0,backtest/core/metrics.py(DSR消费)/strategy_validation_pipeline,tests/backtest/test_n_trial_ledger.py,"漏记试验=DSR虚高 || 审查: 读数缺失or 0静默记零=分母缩水放水方向fail-open(机验);n_sampled回退混口径 || 收口: P2 or-0分母缩水:确认并治本(batch_records缺n_trials raise fail-closed对齐文件头不变量),回归test_count_of_missing_n_trials_fails_closed||P3 fillna(0)相关语义:挂起登记 || 收口补刀:反驳者反例修复(sync_screen_counts仓外路径不崩,_rel_to_repo模块级helper),18/18绿",已审,已查,已查,已查,已查,已查,已查,3,1,0,0,已收口,docs/_working/deep_review_full/p0_money_path/rpt_v04.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
V05,p0_money_path,决策闸DecisionGate,闸门,src/zephyr/backtest/core/decision_gate.py:539,P0,strategy_validation_pipeline/fw_backtest/双引擎,tests/backtest/test_decision_gate.py; test_decision_gate_regime.py,"策略晋升唯一闸 || 审查: WFA灾难否决对缺max_drawdown字段静默旁路缺省0.0=fail-open;DSR docstring与默认0.95漂移 || 收口: P2 WFA缺max_drawdown fail-open:确认并治本(缺字段窗口强制计未通过+留痕,对齐'缺字段按未通过'契约),测试契约同步收紧3处+新增回归test_missing_max_drawdown_window_fails,99/99绿;生产桥接恒带dd无行为影响||DSR docstring漂移:挂起 || 收口补刀:反驳者两反例修复(passed非布尔raise+monitor恰界round12),63/63绿",已审,已查,已查,已查,已查,已查,已查,4,1,0,0,已收口,docs/_working/deep_review_full/p0_money_path/rpt_v05.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
V06,p0_money_path,过拟合裁决器,闸门,src/zephyr/backtest/core/overfitting_adjudicator.py:514,P0,strategy_validation_pipeline,tests/backtest/test_overfitting_adjudicator.py,审查: 三检验器生产零调用+production标签失真(孤儿门禁);%.0%%格式串非法确定性报错(机验) || 收口: P3格式串:确认并治本(%.0%%→%.0f%%)||P2孤儿门禁+production标签失真:挂起登记(与V08合并裁定接线或退役),已审,已查,已查,已查,已查,已查,已查,3,1,0,0,已收口,docs/_working/deep_review_full/p0_money_path/rpt_v06.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
V07,p0_money_path,DSR计算器,算法,src/zephyr/simulation/deflated_sharpe_calculator.py:327,P0,backtest/core/metrics/decision_gate/c4_runner,tests/backtest/test_metrics_dsr.py; test_c4_deflated_sharpe_runner.py,Owner尺子DSR>0.5数值来源;口径史案#1 || 审查: DSR翻案专项闭环已查无;V[SR]+3转换/E[max]闭式与Bailey-LdP2014对齐+三实现收敛锁;仅docstring半格差,已审,已查,已查,已查,已查,已查,已查,2,0,0,0,待收口,docs/_working/deep_review_full/p0_money_path/rpt_v07.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
V08,p0_money_path,过拟合保护闸,闸门,src/zephyr/simulation/overfitting_protection_gate.py:138,P0,simulation层,tests/simulation/(如有),审查: 四层防护闸生产零接线(CONSUMERS虚标grep零命中);测试importorskip损坏时静默绿;建议与V06合并接线,已审,已查,已查,已查,已查,已查,已查,4,0,0,0,待收口,docs/_working/deep_review_full/p0_money_path/rpt_v08.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
C01,p0_money_path,日度资金分配编排,管线,src/zephyr/pf_alloc/allocation_orchestrator.py:686 + batched_position_builder.py:240,P0,strategy_pipeline/pipeline_events.py/sim_paper_ledger,tests/pf_alloc/test_allocation_chain.py; test_batched_position_builder.py,"注:他会话在途施工中,收口按新基线 || 审查: AGGRESSIVE单批欠部署≤30%vs不变量批次和=1.0;Tier3强裁生产零触发;Tier3存量被'预算相等'误清(>=含相等);生产CLI路径alpha_provider=None四层裁决空转",已审,已查,已查,已查,已查,已查,已查,13,0,0,0,待收口,docs/_working/deep_review_full/p0_money_path/rpt_c01.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
C02,p0_money_path,多策略资金分配器,算法,src/zephyr/pf_alloc/core/multi_strategy_capital_allocator.py:156,P0,allocation_orchestrator/signal_weight_adjuster,tests/pf_alloc/test_multi_strategy_capital_allocator.py,审查: 孤儿死码(production/CONSUMERS虚标零调用方);NaN signal_weight全链穿透;NaN max_drawdown静默跳闸(实测);与MOD-PA-007预算带双承载,已审,已查,已查,已查,已查,已查,已查,7,0,0,0,待收口,docs/_working/deep_review_full/p0_money_path/rpt_c02.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
C03,p0_money_path,持仓裁决中心,闸门,src/zephyr/position/core/position_adjudication_center.py:192,P0,allocation_orchestrator:527,tests/position/test_position_adjudication_center.py,四层裁决 || 审查: 编排本体干净(min收敛数学等价/fail-closed双保险);verify_bypass令牌零接线+进程内存态,已审,已查,已查,已查,已查,已查,已查,6,0,0,0,待收口,docs/_working/deep_review_full/p0_money_path/rpt_c03.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
C04,p0_money_path,仓位定位引擎(Kelly),算法,src/zephyr/position/core/position_sizing_engine.py:379,P0,single_name_cap_caliber/position_audit_logger,tests/position/test_position_sizing_engine.py,"Kelly:357 || 审查: 接线即P0:veto保持现仓路径total_exposure=0/cash_reserve=全额(实测,静默错账+总上限绕过);size()零生产调用;与StrategyBook禁用Kelly双哲学断链;CRISIS仅减仓未实现;无100股整手",已审,已查,已查,已查,已查,已查,已查,10,0,0,0,待收口,docs/_working/deep_review_full/p0_money_path/rpt_c04.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
C05,p0_money_path,现金台账+划拨账本,模块,src/zephyr/position/core/cash_manager.py:153(:452),P0,position core包/allocation链CashSeat,tests/position/test_cash_manager.py,审查: projected_available漏计pending_settlement T+1释放(实测次日少整笔卖出款);NaN流水穿透;透支静默负现金;零生产调用方,已审,已查,已查,已查,已查,已查,已查,7,0,0,0,待收口,docs/_working/deep_review_full/p0_money_path/rpt_c05.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
C06,p0_money_path,危机闸CrisisGate,闸门,src/zephyr/pf_alloc/crisis_gate.py:413(:193/:265),P1,sim_paper_ledger(仅模拟盘),tests/pf_alloc/test_crisis_gate.py,他会话在途新文件;接实盘升P0 || 审查: 三级接线断两级(L1/L2零接线仅sim盘L3);warning档双不存在floor_active无人消费+CRISIS floor 0.05数学不可达(raw>=0.09恒真);三处危机判定口径不一致,已审,已查,已查,已查,已查,已查,已查,7,0,0,0,待收口,docs/_working/deep_review_full/p0_money_path/rpt_c06.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
C07,p0_money_path,VolTargetAllocator(L1总闸),闸门,src/zephyr/pf_alloc/core/vol_target_allocator.py:32,P0,文件头注'策略工厂E8(未来)'——接线存疑待审,tests/pf_alloc/test_vol_target_allocator.py,"生死线三件套之一;孤儿嫌疑 || 审查: 孤儿死码确认(L1总闸零import证据);kelly_full_weight NaN σ/E(R)→满仓1.0(实测,与自declared不变量反向);年化常数244vs252漂移",已审,已查,已查,已查,已查,已查,已查,6,0,0,0,待收口,docs/_working/deep_review_full/p0_money_path/rpt_c07.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
X01,p0_money_path,交易会话编排器,管线,src/zephyr/ex_core/trading_session.py:287,P0,qmt_trading_session(QMT实盘入口),tests/ex_core/test_qmt_trading_session.py,"实盘会话唯一编排点 || 审查: rebalance不抵扣在途单,重复触发可双下单 || P1在途抵扣:确认并治本(_inflight_qty_by_symbol同侧抵扣+OM异常降级留痕),回归3测(足额覆盖零新单/部分抵扣/OM降级),5/5绿;P2陈旧价/NaN权重/stop竞态:挂起 || 收口: P1在途抵扣已治本(前批q-0008);P2陈旧价/NaN权重/stop竞态/在途快照非原子:挂起登记",已审,已查,已查,已查,已查,已查,已查,9,1,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_x01.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
X02,p0_money_path,订单管理器+执行Saga,模块,src/zephyr/ex_core/order_manager.py:131 + order_execution_saga.py:320,P0,trading_session/aggregate_root/risk_layer/cancel_rate_guard/local_order_queue,tests/ex_core/test_order_manager_compliance_gate.py等4套,每张单都过这里 || 审查: Saga零生产接线孤儿;部分成交首笔即COMPLETED余量失控 || 收口: P1部分成交首笔COMPLETED+Saga孤儿:挂起登记(接线裁定后修);P2-7挂起,已审,已查,已查,已查,已查,已查,已查,14,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_x02.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
X03,p0_money_path,执行引擎,管线,src/zephyr/ex_core/execution_engine.py:129,P0,governance/adapters/risk_validation_bridge.py:81装配,tests/ex_core/test_execution_strategy_selector.py,审查: 风控权重=股数/100万硬编码假闸;引擎零接线 || 收口: P1假风控闸+引擎孤儿:挂起登记(接线或退役裁定);,已审,已查,已查,已查,已查,已查,已查,12,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_x03.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
X04,p0_money_path,SOR算法执行引擎,管线,src/zephyr/ex_sor/core/algo_trading_engine.py:749,P0,"execution_engine:65,:346",tests/ex_sor/test_algo_trading_engine.py,"TWAP/VWAP/冰山/POV/IS六算法 || 审查: 参与率5%红线只估算不强制;LOT_SIZE=100科创板废单 || 收口: P1参与率5%红线不强制:挂起登记(监管红线,接线时必须治本);P2 LOT_SIZE科创板:挂起",已审,已查,已查,已查,已查,已查,已查,10,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_x04.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
X05,p0_money_path,执行前置闸门组+价格笼子,闸门,src/zephyr/ex_core/pre_execution_checker.py:147 + price_cage.py:153,P0,trading_session(MOD-EX-024逐单闸)/execution_engine,tests/ex_core/test_pre_execution_checker.py; test_price_cage.py,Fail-Closed预检 || 审查: 文件桥调笼子不传基准价→实盘路径恒UNKNOWN形同虚设;官方规则对照一致 || 收口: P1笼子UNKNOWN形同虚设:挂起登记(需券商层quote源设计);官方规则对照通过,已审,已查,已查,已查,已查,已查,已查,8,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_x05.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
X06,p0_money_path,TWAP拆单器,算法,src/zephyr/ex_core/order_splitter.py:213,P0,execution链,tests/ex_core/test_order_splitter.py,余数修正 || 审查: VWAP悬殊权重产出0量末片(实证);头注消费方幽灵引用 || 收口: P2 VWAP零量末片(实证):挂起登记;幽灵引用头注:挂起,已审,已查,已查,已查,已查,已查,已查,5,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_x06.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
X07,p0_money_path,成交回报处理,模块,src/zephyr/ex_core/fill_handler.py:182,P0,order_manager/aggregate_root/async_fill_dispatcher/state_store,tests/ex_core/test_fill_handler.py; test_fill_id_dedup_persistence.py,"幂等去重 || 审查: process_fill零接线→JSONL落盘断链,盘后对账读空 || 收口: P1 process_fill断链:挂起登记(接线裁定);",已审,已查,已查,已查,已查,已查,已查,7,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_x07.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
X08,p0_money_path,券商柜台文件桥,模块,src/zephyr/ex_core/adapters/qmt_file_bridge_broker.py:319,P0,OrderManager注册broker/trading_session,tests/ex_core/adapters/test_qmt_file_bridge_broker.py; test_miniqmt_broker.py,"真钱边界 || 审查: P0:双键错配指令写idempotency_key缓存/撤单用order_id→状态推进/成交配对/撤单三链全断;测试两键相同掩盖=假阳性实锤 || 收口:P0-1确认并已治本(双键配对视图+撤单remark解析+Fill回解dataclasses.replace),回归TestDistinctKeyPairing三测+18/18+扩散102/102,提交q-0006 || 收口: P0双键错配已治本(q-0006);真柜台CSV取证归实盘首日",已审,已查,已查,已查,已查,已查,已查,13,1,0,0,已收口,docs/_working/deep_review_full/p0_money_path/rpt_x08.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
X09,p0_money_path,打板执行+瞬时熔断,闸门,src/zephyr/ex_core/daban_execution.py:59 + daban_instant_circuit_breaker.py:40,P0,daban_*家族/live打板策略,tests/ex_core/test_daban_execution.py; test_daban_instant_circuit_breaker.py,L4执行族15/15已验(裁定快签#28) || 审查: initial_seal=0熔断误触发全卖;WAIT分支结构性不可达;SaR文献永续→A股适配缺口 || 收口: P2 initial_seal=0误触发+WAIT不可达:挂起登记(daban车道裁定);SaR对照通过,已审,已查,已查,已查,已查,已查,已查,8,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_x09.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
R01,p0_money_path,风控分层编排器(盘中对账),管线,src/zephyr/ex_core/risk_layer_orchestrator.py:453(start_reconcile_loop:1781),P0,trading_session:404,tests/ex_core/test_risk_layer_orchestrator.py,"裁定#317:Timer违规→事件触发+30min兜底,改造期对象 || 审查: 裁定#317在册但施工未落地Timer仍在:1815;_reconcile_tick异常吞没无升级(:1822);run_reconcile_once fail-open(:1802)对账静默死亡 || 收口: P1对账环异常吞没+fail-open:挂起登记(#317改造区防冲突,#317落地后随车道修)",已审,已查,已查,已查,已查,已查,已查,7,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_r01.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
R02,p0_money_path,持仓对账器(ex_core),模块,src/zephyr/ex_core/position_reconciler.py:101,P0,risk_layer_orchestrator:143/eod_reconciliation,tests/ex_core/test_position_reconciler.py,"D轴:position包同名平行实现去重审查 || 审查: 双实现口径不一致(Decimal冻结制vs裸dict计数升级制);position版零调用=孤儿;合并案:ex_core唯一真源 || 收口: P1双实现口径不一致:挂起登记(合并裁定:ex_core唯一真源,position版退役候选)",已审,已查,已查,已查,已查,已查,已查,7,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_r02.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
R03,p0_money_path,三流对账+日终对账,管线,src/zephyr/trading/three_way_reconciliation.py:175 + ex_core/eod_reconciliation.py:95,P0,EodReconciler消费ThreeWay/PostSettlement链,tests/trading/test_three_way_reconciliation.py; tests/ex_core/test_eod_reconciliation.py,审查: ThreeWayReconEngine与EodReconciler双零生产接线;结算单缺失日=绿灯(cash_checked=False不告警);佣金trade_ref=None静默逃逸费用匹配 || 收口: P1双零接线+结算单缺失日绿灯:挂起登记(接线裁定+告警补),已审,已查,已查,已查,已查,已查,已查,7,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_r03.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
R04,p0_money_path,结算对账链,管线,src/zephyr/trading/post_settlement_pipeline.py:101 + settlement_reconciliation.py:174 + recon_runner.py:392,P0,data scheduler/run_post_settlement.py/DailyAuditor,tests/trading/test_post_settlement_pipeline.py等3套,"盘后15:30硬时点 || 审查: 15:30硬时点纸面(build_post_settlement_jobs零调用方);QMT断供→SKIPPED→exit0无看门狗;L3公式忽略买卖方向(Fill契约无side);配对索引静默覆盖丢笔 || 收口: P1 L3忽略买卖方向+15:30纸面+SKIPPED无看门狗:挂起登记(接线裁定后修,Fill契约需side字段)",已审,已查,已查,已查,已查,已查,已查,9,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_r04.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
R05,p0_money_path,盈亏与费用计算,算法,src/zephyr/trading/pnl_calculator.py:206(:176 AShareFeeCalculator),P0,recon_runner _compute_l3_pnl:285,tests/trading/test_pnl_calculator.py,费率错一分PnL全错 || 审查: 手算复算通过(费率对等);重启后avg_cost置0→浮盈=全市值静默错报(P1);三套费用模型并存;min5按fill非order || 收口: P1 avg_cost重启归零→浮盈=市值:挂起登记(修复点在#317改造区);P2三套费用模型并存:挂起;手算复算通过,已审,已查,已查,已查,已查,已查,已查,7,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_r05.md,GLM-5.3-Flash/st-deeprev-20260918,2fa92002c3
K01,p0_money_path,KillSwitch清仓链,闸门,src/zephyr/risk/stop_loss.py:98(:282/:545),P0,risk_layer_orchestrator/drawdown_bankruptcy_floor/systemic_risk_alert/boot_hooks,tests/trading/test_stop_loss.py; test_trading_kill_switch.py; tests/risk/test_kill_switch_state_persistence.py,触发不彻底=灾难 || 收口:清算'成功'=受理非成交+复核链零接线:挂起登记(接线裁定);15笔/秒注释被上交所细则证伪,待审,,,,,,,0,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_k01.md,,2fa92002c3
K02,p0_money_path,KillSwitch编排器,闸门,src/zephyr/autonomy_core/kill_switch_orchestrator.py:259,P0,boot_hooks/response_levels/风控validators,tests/autonomy/test_kill_switch_orchestrator.py等2套,五域总闸 || 收口:P0资金事故假处置(route_incident五级旗无消费)+系统级开关纯内存:挂起登记(接线+持久化裁定)——晨报置顶,待审,,,,,,,0,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_k02.md,,2fa92002c3
K03,p0_money_path,交易总停止闸StopGate,闸门,src/zephyr/trading/stop_gate.py:40,P0,auto_runtime_core/lifecycle_manager,tests/trading/test_stop_gate.py, || 收口:生产零调用+实为会话质量闸非交易闸:挂起登记(重分类+接线裁定);级别建议降P1,待审,,,,,,,0,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_k03.md,,2fa92002c3
K04,p0_money_path,风控否决引擎,闸门,src/zephyr/risk/core/risk_veto_engine.py:111(:138-217内置规则),P0,pre_execution_checker/trading_session(经risk_validation_bridge),tests/risk/core/test_risk_veto_engine.py,停牌/超仓/T+1/缺价Fail-Closed || 收口:引擎扎实但P35 T+1规则因sellable产源缺失生产空转:挂起登记(sellable产源立卡),待审,,,,,,,0,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_k04.md,,2fa92002c3
K05,p0_money_path,VaR计算器,算法,src/zephyr/risk/core/var_calculator.py:233,P0,risk_layer_orchestrator/var_intraday_recalc,tests/risk/test_var_calculator.py,"数据不足Fail-Closed || 收口:P2 NaN穿透确认并治本(isfinite raise),回归实弹+63/63绿;min_history=30立卡(Hendricks 1996)",待审,,,,,,,0,0,0,0,已收口,docs/_working/deep_review_full/p0_money_path/rpt_k05.md,,2fa92002c3
K06,p0_money_path,A股止损规则引擎,闸门,src/zephyr/risk/core/ashare_stop_loss_engine.py:286,P0,position core包/风控validator链,tests/risk/test_ashare_stop_loss_engine.py,跌停不可成交等A股口径 || 收口:P1零生产调用+RK-04/35/40产而不消(per-position止损整体缺位):挂起登记(Owner接线或退役裁定),待审,,,,,,,0,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_k06.md,,2fa92002c3
K07,p0_money_path,回撤控制器,闸门,src/zephyr/position/core/drawdown_controller.py:329,P0,risk_layer_orchestrator(头号依赖)/position core,tests/position/test_drawdown_controller.py,分级降仓+黑天鹅模式 || 收口:P2回补过50%仓位上限骤减一半(V形非单调)+BS-007黑天鹅分支休眠:挂起登记;NaN链随K05已断,待审,,,,,,,0,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_k07.md,,2fa92002c3
K08,p0_money_path,先报告后交易闸,闸门,src/zephyr/compliance/compliance_report_registry.py:133,P0,order_manager.py:70注入,tests/compliance/test_compliance_report_registry.py,"监管红线C-002 || 收口:P0监管闸全仓零注入+0/6 broker_ack:挂起登记(武装需券商ack数据流,盲武=C-002全拒单)——晨报置顶",待审,,,,,,,0,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_k08.md,,2fa92002c3
K09,p0_money_path,清仓执行保护,闸门,src/zephyr/risk/core/drawdown_liquidation_guard.py:108(:164),P1,drawdown清仓链,tests/risk/test_drawdown_liquidation_guard.py,撤单率/超时保护 || 收口:P1双守卫零接线+头注K01消费方不存在:挂起登记(与K01复核链一并接线);撤单率15%出处受阻待证,待审,,,,,,,0,0,0,0,收口中,docs/_working/deep_review_full/p0_money_path/rpt_k09.md,,2fa92002c3
D01,p1_decision_chain,RegimeDetector(HMM四态),算法,src/zephyr/regime/core/regime_detector.py:437(detect:510),P0,framework_composer/index_regime_panel/regime_adapter,tests/regime/test_regime_detector.py,生死线三件套之首 || 收口:P1断供→均匀分布属fallback语义裁定+hmmlearn版本回读:挂起登记(三腿互证rpt_d01/d05/d12);立卡Hungarian,待审,,,,,,,0,0,0,0,收口中,docs/_working/deep_review_full/p1_decision_chain/rpt_d01.md,,2fa92002c3
D02,p1_decision_chain,锚定状态机,算法,src/zephyr/regime/core/anchored_state_machine.py:142,P1,data/implementations/internal_compute_provider,tests/zephyr/regime/test_anchored_state_machine.py, || 收口:P1 r1-r4与D01撞名不同义:挂起登记(命名裁定),待审,,,,,,,0,0,0,0,收口中,docs/_working/deep_review_full/p1_decision_chain/rpt_d02.md,,2fa92002c3
D03,p1_decision_chain,机构Regime评分器,算法,src/zephyr/regime/institutional_regime_scorer.py:134,P1,regime包导出,tests/regime/test_institutional_regime_scorer.py," || 收口:P1 NaN VIX判20分确认并治本(域检查+degraded留痕+中性分),78/78绿;孤儿+成熟度虚标:挂起",待审,,,,,,,0,0,0,0,已收口,docs/_working/deep_review_full/p1_decision_chain/rpt_d03.md,,2fa92002c3
D04,p1_decision_chain,市场预测融合,算法,src/zephyr/regime/market_forecast_fusion.py:98,P1,sector_strength_aggregator(L1-AGG调节delta),tests/regime/test_market_forecast_fusion.py," || 收口:P1 NaN分布穿透确认并治本(_validate补NaN/Inf拒绝),78/78绿;tracker无持久化:挂起",待审,,,,,,,0,0,0,0,已收口,docs/_working/deep_review_full/p1_decision_chain/rpt_d04.md,,2fa92002c3
D05,p1_decision_chain,Regime特征构建器,管线,src/zephyr/regime/regime_feature_builder.py:124,P0,overlay_signals_builder/index_regime_panel/risk_signal_builder,无专属测试(缺口),"特征错=判定整体错且无测试兜底 || 收口:P1无专属测试+fail-open三通道:挂起登记(断供语义统一裁定,含D01/D12);真实数据画像缺=长尾",待审,,,,,,,0,0,0,0,收口中,docs/_working/deep_review_full/p1_decision_chain/rpt_d05.md,,2fa92002c3
D06,p1_decision_chain,筹码分布引擎,引擎,src/zephyr/regime/features/chip_distribution_engine.py:287(:194),P1,regime/features包内,tests/regime/test_chip_distribution_engine.py, || 收口:P2一字板日均匀分布注入(实测):挂起登记;声明态孤儿,待审,,,,,,,0,0,0,0,收口中,docs/_working/deep_review_full/p1_decision_chain/rpt_d06.md,,2fa92002c3
D07,p1_decision_chain,LPPL顶部探测,算法,src/zephyr/regime/features/lppl_detector.py:123,P2,regime/features包内,tests/regime/features/test_lppl_detector.py, || 收口:P1 valid>=1即+40恰达T4门槛(随机游走13.3%触发):挂起登记(阈值裁定);孤儿+立卡2,待审,,,,,,,0,0,0,0,收口中,docs/_working/deep_review_full/p1_decision_chain/rpt_d07.md,,2fa92002c3
D08,p1_decision_chain,合成VIX,算法,src/zephyr/regime/features/synthetic_vix.py:106,P1,regime/features包内(vol regime输入),tests/regime/test_synthetic_vix.py, || 收口:P2 dte<=0污染近月池+ATM口径≠CBOE/iVX:挂起登记;立卡2,待审,,,,,,,0,0,0,0,收口中,docs/_working/deep_review_full/p1_decision_chain/rpt_d08.md,,2fa92002c3
D09,p1_decision_chain,Wyckoff引擎(regime),引擎,src/zephyr/regime/features/wyckoff_engine.py:297,P2,regime/features包内,tests/regime/test_wyckoff_engine.py,有dimension_status降级 || 收口:P1 MVP回退支绕过证伪门(与D11同案):挂起登记(旁路拆除裁定);证伪态治理域内最佳,待审,,,,,,,0,0,0,0,收口中,docs/_working/deep_review_full/p1_decision_chain/rpt_d09.md,,2fa92002c3
D10,p1_decision_chain,指数Regime面板,管线,src/zephyr/regime/index_regime_panel.py:269,P1,regime包内/前端,tests/regime/test_index_regime_panel.py, || 收口:P2 F4断更恒0无补洞(D05同症两处承载分叉):挂起登记(合并修),待审,,,,,,,0,0,0,0,收口中,docs/_working/deep_review_full/p1_decision_chain/rpt_d10.md,,2fa92002c3
D11,p1_decision_chain,Overlay信号构建,管线,src/zephyr/regime/overlay_signals_builder.py:143,P1,regime包内,tests/regime/test_overlay_signals_builder.py,overlay直接改仓位语义 || 收口:P1 wyckoff回退支传导(与D09同案):挂起登记;32维key契约与D01精确对齐=已查无,待审,,,,,,,0,0,0,0,收口中,docs/_working/deep_review_full/p1_decision_chain/rpt_d11.md,,2fa92002c3
D12,p1_decision_chain,风险信号构建,管线,src/zephyr/regime/risk_signal_builder.py:71,P1,regime包内,tests/regime/test_risk_signal_builder.py, || 收口:P1 危机地板与HHI各两份实现:挂起登记(合并裁定);参数缺失→1.0归断供语义统一裁定,待审,,,,,,,0,0,0,0,收口中,docs/_working/deep_review_full/p1_decision_chain/rpt_d12.md,,2fa92002c3
