stash_ref|date|message
stash@{0}|2026-06-25 00:01:29 +0800|On trae-redteam-deadly-5: pre-commit-isolation
stash@{1}|2026-06-23 13:57:02 +0800|On trae-redteam-deadly-5: dm200912-commit-stash
stash@{2}|2026-06-21 20:02:44 +0800|On trae-redteam-deadly-5: temp-restore-for-baseline
stash@{3}|2026-04-10 18:12:24 +0800|WIP on docs/blueprint-trae-06: 6452767e docs(ledger): T3-39 pending-rec content-verified-8files L1=0-trae08 awaiting-empty-commit v1.8.2
stash@{4}|2026-04-10 18:08:34 +0800|WIP on docs/blueprint-trae-05: be8b6ead docs(ledger): T3-38 pending-rec VAR_ES+VULN trae-10 content-source=7a3fbe73 v1.8.4
stash@{5}|2026-04-10 17:34:10 +0800|WIP on docs/blueprint-trae-01: 5b726590 docs(blueprint): T3-21 收口（Trae-06，L1=0）
stash@{6}|2026-04-10 17:30:36 +0800|WIP on docs/blueprint-trae-06: 3711244f docs(blueprint): Trae-06 批次 T3-06 0.1 收口（L1=0）
stash@{7}|2026-04-10 16:59:18 +0800|WIP on docs/blueprint-trae-09: f46c8239 docs(standards): 文档仓库目录与施工文档放置标准 + CONSTRUCTION_GATE v1.2
stash@{8}|2026-04-10 16:58:14 +0800|On docs/blueprint-rec-T3-15: rec-T3-15 wip
stash@{9}|2026-04-10 16:56:56 +0800|On docs/blueprint-rec-T3-15: wip: rec-T3-15 before T3-17 trae-07
stash@{10}|2026-04-10 16:53:33 +0800|WIP on docs/blueprint-trae-07: 32693129 docs(ledger): 回填回收 T2-11（Cursor-REC-01）
stash@{11}|2026-04-10 16:47:46 +0800|WIP on docs/blueprint-rec-T3-09: 19e234ee docs(audit): 移除 L1 扫描落盘产物 SENTINEL_L1_SCAN_20260408（不入库）
stash@{12}|2026-04-10 16:43:36 +0800|WIP on docs/blueprint-trae-10: 7a3fbe73 docs(blueprint): T3-20 终稿化（Trae-10）
stash@{13}|2026-04-10 16:42:24 +0800|WIP on docs/blueprint-rec-T3-09: 7dce2c6e Revert "chore(audit): restore sentinel scan artifacts"
stash@{14}|2026-04-10 16:42:02 +0800|On docs/blueprint-rec-T3-02: wip: park stray modifications (pre T3-09)
stash@{15}|2026-04-10 16:41:40 +0800|WIP on docs/blueprint-trae-10: 6947351e docs(blueprint): Trae-10 T3-10 sec0.1 close L1=0
stash@{16}|2026-04-10 16:39:56 +0800|On docs/blueprint-rec-T3-02: wip-before-t320-checkout
stash@{17}|2026-04-10 16:39:49 +0800|WIP on docs/blueprint-rec-T3-09: 7dce2c6e Revert "chore(audit): restore sentinel scan artifacts"
stash@{18}|2026-04-10 16:38:32 +0800|WIP on docs/blueprint-rec-T3-09: 7dce2c6e Revert "chore(audit): restore sentinel scan artifacts"
stash@{19}|2026-04-10 16:38:03 +0800|WIP on docs/blueprint-rec-T3-09: 7dce2c6e Revert "chore(audit): restore sentinel scan artifacts"
stash@{20}|2026-04-10 16:36:20 +0800|WIP on docs/blueprint-rec-T3-09: 7dce2c6e Revert "chore(audit): restore sentinel scan artifacts"
stash@{21}|2026-04-10 16:22:26 +0800|On docs/blueprint-rec-T3-05: wip: park local changes before T3-09
stash@{22}|2026-04-09 17:09:30 +0800|WIP on docs/blueprint-trae-06: c94c8460 docs(blueprint): Trae-06 批次 T3-06 0.1 收口（L1=0）
stash@{23}|2026-04-09 16:46:57 +0800|WIP on docs/blueprint-trae-03: d4aea016 docs(blueprint): Trae-03 批次 T3-12 0.1 收口（L1=0）
stash@{24}|2026-04-07 01:48:52 +0800|On backup/document-governance-optimization-round8-20260407: Pre-audit backup V19 - Layer6深度审计 2026-04-07 01:48:52
stash@{25}|2026-04-07 01:45:07 +0800|On backup/document-governance-optimization-round8-20260407: Pre-deep-audit-backup-2026-04-07-014507
stash@{26}|2026-04-07 00:33:12 +0800|On backup/portfolio-optimization-deep-audit-v3-20260407: Pre-audit backup V18 - 2026-04-07 00:33:12
stash@{27}|2026-04-07 00:28:46 +0800|WIP on backup/layer11-deep-audit-v2-20260406: 63440b4 完成: Layer 4机器学习层文档治理P0级问题修复完成
stash@{28}|2026-04-07 00:19:48 +0800|On backup/portfolio-optimization-deep-audit-v3-20260407: Pre-audit backup V17 - 2026-04-07 00:19:48
stash@{29}|2026-04-07 00:09:46 +0800|On backup/portfolio-optimization-deep-audit-v2-20260406: Pre-audit backup V16 - 2026-04-07 00:09:46
stash@{30}|2026-04-06 23:54:23 +0800|On master: Pre-deep-audit-layer6-20260406-235423
stash@{31}|2026-04-06 23:02:40 +0800|On master: Pre-deep-audit-backup-V14-20260406-230240
stash@{32}|2026-04-06 22:58:13 +0800|On master: Pre-audit backup V14 - 20260406-225813
stash@{33}|2026-04-06 22:36:57 +0800|On master: Pre-audit backup V13
stash@{34}|2026-04-06 22:29:53 +0800|On master: 审计前备份: 组合优化层深度审计
stash@{35}|2026-04-06 20:31:09 +0800|On master: pre-deep-audit-v11-layer6-comprehensive
stash@{36}|2026-04-06 17:52:08 +0800|On master: pre-deep-audit-v9-layer6-full
stash@{37}|2026-04-05 23:51:04 +0800|On master: pre-deep-audit-v8-layer6
stash@{38}|2026-04-05 23:42:19 +0800|On master: pre-deep-audit-v7-layer6-20260405234219
stash@{39}|2026-04-05 23:30:05 +0800|On master: pre-audit-backup-layer6-
stash@{40}|2026-04-05 00:21:42 +0800|On master: backup-before-layer6-audit-
